farm,column_name,column_type,unit,description,is_metadata,is_sensor,is_counter,is_angle,recognized_by_rai,matched_canonical,rejection_reason
Wind Farm A,time_stamp,metadata,,,True,False,False,False,True,ts,n/a
Wind Farm A,asset_id,metadata,,,True,False,False,False,True,asset_id,n/a
Wind Farm A,id,metadata,,,True,False,False,False,False,,metadata
Wind Farm A,train_test,metadata,,,True,False,False,False,False,,metadata
Wind Farm A,status_type_id,metadata,,,True,False,False,False,True,status_code,n/a
Wind Farm A,sensor_0_avg,temperature,�C,Ambient temperature,False,True,False,False,True,ambient_temp_c,n/a
Wind Farm A,sensor_1_avg,angle,�,Wind absolute direction,False,True,False,True,False,,lost_to_higher_scoring_column_for_wind_direction_deg
Wind Farm A,sensor_2_avg,angle,�,Wind relative direction,False,True,False,True,False,,lost_to_higher_scoring_column_for_wind_direction_deg
Wind Farm A,wind_speed_3_avg,wind,m/s,Windspeed,False,True,False,False,True,wind_speed_ms,n/a
Wind Farm A,wind_speed_4_avg,wind,m/s,Estimated windspeed,False,True,False,False,False,,no_canonical_slot
Wind Farm A,wind_speed_3_max,wind,m/s,Windspeed,False,True,False,False,False,,lost_to_higher_scoring_column_for_wind_speed_ms
Wind Farm A,wind_speed_3_min,wind,m/s,Windspeed,False,True,False,False,False,,lost_to_higher_scoring_column_for_wind_speed_ms
Wind Farm A,wind_speed_3_std,wind,m/s,Windspeed,False,True,False,False,False,,lost_to_higher_scoring_column_for_wind_speed_ms
Wind Farm A,sensor_5_avg,angle,�,Pitch angle,False,True,False,True,True,pitch_angle_deg,n/a
Wind Farm A,sensor_5_max,angle,�,Pitch angle,False,True,False,True,False,,lost_to_higher_scoring_column_for_pitch_angle_deg
Wind Farm A,sensor_5_min,angle,�,Pitch angle,False,True,False,True,False,,lost_to_higher_scoring_column_for_pitch_angle_deg
Wind Farm A,sensor_5_std,angle,�,Pitch angle,False,True,False,True,False,,lost_to_higher_scoring_column_for_pitch_angle_deg
Wind Farm A,sensor_6_avg,temperature,�C,Temperature in the hub controller,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_7_avg,temperature,�C,Temperature in the top nacelle controller,False,True,False,False,False,,lost_to_higher_scoring_column_for_nacelle_temp_c
Wind Farm A,sensor_8_avg,temperature,�C,Temperature in the choke coils on the VCS-section,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_9_avg,temperature,�C,Temperature on the VCP-board,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_10_avg,temperature,�C,Temperature in the VCS cooling water,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_11_avg,temperature,�C,Temperature in gearbox bearing on high speed shaft,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_12_avg,temperature,�C,Temperature oil in gearbox,False,True,False,False,True,gearbox_oil_temp_c,n/a
Wind Farm A,sensor_13_avg,temperature,�C,Temperature in generator bearing 2 (Drive End),False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_14_avg,temperature,�C,Temperature in generator bearing 1 (Non-Drive End),False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_15_avg,temperature,�C,Temperature inside generator in stator windings phase 1,False,True,False,False,True,generator_winding_temp_c,n/a
Wind Farm A,sensor_16_avg,temperature,�C,Temperature inside generator in stator windings phase 2,False,True,False,False,False,,lost_to_higher_scoring_column_for_generator_winding_temp_c
Wind Farm A,sensor_17_avg,temperature,�C,Temperature inside generator in stator windings phase 3,False,True,False,False,False,,lost_to_higher_scoring_column_for_generator_winding_temp_c
Wind Farm A,sensor_18_avg,mechanical,rpm,Generator rpm in latest period,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_18_max,mechanical,rpm,Generator rpm in latest period,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_18_min,mechanical,rpm,Generator rpm in latest period,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_18_std,mechanical,rpm,Generator rpm in latest period,False,True,False,False,False,,no_canonical_slot
Wind Farm A,sensor_19_avg,temperature,�C,Temperature in the split ring chamber,False,True,False,False,False,,no_canonical_slot
