farm,model,policy,n_datasets,n_anomaly_datasets,n_normal_datasets,care_score,coverage,earliness,reliability,accuracy
Wind Farm A,isolation_forest,care_narrow,22,11,11,0.5345,0.4339,0.1251,0.3333,0.8902
Wind Farm A,zscore_threshold,care_narrow,22,11,11,0.5062,0.1823,0.0267,0.3333,0.9944
Wind Farm A,isolation_forest,care_semantic,22,11,11,0.6022,0.4692,0.1307,0.5263,0.9423
Wind Farm A,zscore_threshold,care_semantic,22,11,11,0.5308,0.2929,0.0458,0.3333,0.9911
Wind Farm B,isolation_forest,care_narrow,15,6,9,0.5324,0.2355,0.0787,0.5556,0.8960
Wind Farm B,zscore_threshold,care_narrow,15,6,9,0.4013,0.0076,0.0020,0.0000,0.9985
Wind Farm B,isolation_forest,care_semantic,15,6,9,0.5554,0.2408,0.0798,0.5556,0.9504
Wind Farm B,zscore_threshold,care_semantic,15,6,9,0.5349,0.1147,0.0385,0.5556,0.9829
Wind Farm C,isolation_forest,care_narrow,58,27,31,0.5328,0.2800,0.1319,0.4651,0.8935
Wind Farm C,zscore_threshold,care_narrow,58,27,31,0.4388,0.0422,0.0167,0.1613,0.9870
Wind Farm C,isolation_forest,care_semantic,58,27,31,0.6023,0.2317,0.2017,0.7471,0.9154
Wind Farm C,zscore_threshold,care_semantic,58,27,31,0.5725,0.1474,0.1185,0.6780,0.9593
