feature_name,source_table,source_variable,timestamp_semantics,lookback_window,forward_dependency,rolling_behavior,imputation_behavior,scaling_normalization,fit_required,fit_data,asset_id_used,site_id_used,fleet_stats_used,maintenance_info_used,leakage_status,test_coverage
wind_speed_ms,telemetry,wind_speed_ms,instantaneous,0m,None,none,none,raw,No,none,No,No,No,No,SAFE,test_smoke.py
wind_speed_cubed,telemetry,wind_speed_ms,instantaneous,0m,None,none,none,power_3,No,none,No,No,No,No,SAFE,test_sim_physics.py
wind_power_density,telemetry,air_density;wind_speed_ms,instantaneous,0m,None,none,none,physics_formula,No,none,No,No,No,No,SAFE,test_sim_physics.py
air_density,telemetry,ambient_temp_c;pressure_hpa,instantaneous,0m,None,none,none,ideal_gas_law,No,none,No,No,No,No,SAFE,test_sim_physics.py
dir_sin,telemetry,wind_direction_deg,instantaneous,0m,None,none,none,sin_rad,No,none,No,No,No,No,SAFE,test_sim_physics.py
dir_cos,telemetry,wind_direction_deg,instantaneous,0m,None,none,none,cos_rad,No,none,No,No,No,No,SAFE,test_sim_physics.py
ambient_temp_c,telemetry,ambient_temp_c,instantaneous,0m,None,none,none,raw,No,none,No,No,No,No,SAFE,test_smoke.py
wind_mean_60m,telemetry,wind_speed_ms,trailing_window,60m,None,trailing_mean_center_false,drop_nan,raw,No,none,No,No,No,No,SAFE,test_eval_leakage.py
wind_std_60m,telemetry,wind_speed_ms,trailing_window,60m,None,trailing_std_center_false,drop_nan,raw,No,none,No,No,No,No,SAFE,test_eval_leakage.py
turbulence_intensity,telemetry,wind_speed_ms,trailing_window,60m,None,ratio_trailing_std_mean,nan_on_zero,ratio,No,none,No,No,No,No,SAFE,test_sim_physics.py
hour_sin,telemetry,ts,calendar_cyclical,0m,None,none,none,sin_solar_hour,No,none,No,No,No,No,SAFE,test_sim_physics.py
hour_cos,telemetry,ts,calendar_cyclical,0m,None,none,none,cos_solar_hour,No,none,No,No,No,No,SAFE,test_sim_physics.py
poa_clipped,telemetry,poa_wm2,instantaneous,0m,None,none,none,clip_lower_zero,No,none,No,No,No,No,SAFE,test_sim_physics.py
poa_temp_product,telemetry,poa_wm2;module_temp_c,instantaneous,0m,None,none,none,thermal_derate_product,No,none,No,No,No,No,SAFE,test_environment_solar.py
module_temp_c,telemetry,module_temp_c,instantaneous,0m,None,none,none,raw,No,none,No,No,No,No,SAFE,test_environment_solar.py
temp_derate,telemetry,module_temp_c,instantaneous,0m,None,none,none,linear_temp_coeff,No,none,No,No,No,No,SAFE,test_environment_solar.py
poa_mean_60m,telemetry,poa_wm2,trailing_window,60m,None,trailing_mean_center_false,drop_nan,raw,No,none,No,No,No,No,SAFE,test_eval_leakage.py
poa_std_60m,telemetry,poa_wm2,trailing_window,60m,None,trailing_std_center_false,drop_nan,raw,No,none,No,No,No,No,SAFE,test_eval_leakage.py
irradiance_variability,telemetry,poa_wm2,trailing_window,60m,None,ratio_trailing_std_mean,nan_on_zero,ratio,No,none,No,No,No,No,SAFE,test_environment_solar.py
doy_sin,telemetry,ts,calendar_cyclical,0m,None,none,none,sin_day_of_year,No,none,No,No,No,No,SAFE,test_sim_physics.py
doy_cos,telemetry,ts,calendar_cyclical,0m,None,none,none,cos_day_of_year,No,none,No,No,No,No,SAFE,test_sim_physics.py
load_fraction,telemetry,power_kw,instantaneous,0m,None,none,none,power_over_rated,No,none,No,No,No,No,SAFE,test_sim_physics.py
load_lag_30m,telemetry,power_kw,trailing_lag,30m,None,shift_positive_backward,none,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_lag_60m,telemetry,power_kw,trailing_lag,60m,None,shift_positive_backward,none,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_lag_180m,telemetry,power_kw,trailing_lag,180m,None,shift_positive_backward,none,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_mean_60m,telemetry,power_kw,trailing_window,60m,None,trailing_mean_center_false,drop_nan,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_mean_180m,telemetry,power_kw,trailing_window,180m,None,trailing_mean_center_false,drop_nan,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_mean_360m,telemetry,power_kw,trailing_window,360m,None,trailing_mean_center_false,drop_nan,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_ewm_60m,telemetry,power_kw,trailing_ewma,60m_halflife,None,trailing_ewma_center_false,drop_nan,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
load_ewm_180m,telemetry,power_kw,trailing_ewma,180m_halflife,None,trailing_ewma_center_false,drop_nan,ratio,No,none,No,No,No,No,SAFE,test_eval_leakage.py
expected_power_kw,expected_models,features,instantaneous,0m,None,xgboost_point_prediction,none,raw,Yes,train_healthy_prefix,No,No,No,No,SAFE,test_eval_leakage.py
residual_z,residual_baseline,residual,trailing_window,360m,None,trailing_median_mad_scale,none,z_score,Yes,train_healthy_prefix,Yes,No,No,No,SAFE,test_eval_leakage.py
