threshold,precision,recall,f1,mcc,pr_auc,false_alarms_per_year,event_coverage,median_lead_days,care_score
0.1,0.1818,1.0,0.5263,0.2132,0.8215,5.22,1.0,0.01,0.5862
0.15,0.2,1.0,0.5556,0.2582,0.8215,4.64,1.0,0.01,0.6003
0.2,0.2069,1.0,0.566,0.2733,0.8215,4.44,1.0,0.01,0.6052
0.25,0.2069,1.0,0.566,0.2733,0.8215,4.44,1.0,0.01,0.6052
0.3,0.2143,1.0,0.5769,0.2887,0.8215,4.25,1.0,0.01,0.6102
0.35,0.3529,1.0,0.7317,0.4951,0.8215,2.13,1.0,0.01,0.6719
0.4,0.4615,1.0,0.8108,0.6097,0.8215,1.35,1.0,0.01,0.6982
0.45,0.8333,0.8333,0.8333,0.8056,0.8215,0.19,0.8333,0.01,0.7005
0.5,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.55,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.6,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.65,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.7,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.75,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.8,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.85,0.8,0.6667,0.6897,0.6903,0.8215,0.19,0.6667,0.01,0.6589
0.9,1.0,0.3333,0.3846,0.5477,0.8215,0.0,0.3333,0.01,0.5835
