farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days
Wind Farm A,0.csv,0,turb_0,anomaly_event,,CARE_PUBLISHED_IF,care_common,54986,52148,2838,2012,758,0.3041,,0.1388,313,True,13,False,1.91
Wind Farm A,40.csv,40,turb_40,anomaly_event,,CARE_PUBLISHED_IF,care_common,56158,51219,4939,4508,1344,0.5975,,0.1746,193,True,98,False,0.32
Wind Farm A,45.csv,45,turb_45,anomaly_event,,CARE_PUBLISHED_IF,care_common,53739,52299,1440,1008,501,1.0,,0.4966,337,True,25,False,2.83
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_CHAMPION,care_common,54986,52148,2838,2012,520,0.0564,,0.0219,276,True,415,True,-0.88
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_CHAMPION,care_common,56158,51219,4939,4508,874,0.4355,,0.1043,165,True,778,True,-4.4
Wind Farm A,45.csv,45,turb_45,anomaly_event,,RAI_CHAMPION,care_common,53739,52299,1440,1008,245,1.0,,0.2515,113,True,415,False,0.12
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_CHAMPION,care_native,54986,52148,2838,2012,520,0.0564,,0.0219,276,True,415,True,-0.88
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_CHAMPION,care_native,56158,51219,4939,4508,874,0.4355,,0.1043,165,True,778,True,-4.4
Wind Farm A,45.csv,45,turb_45,anomaly_event,,RAI_CHAMPION,care_native,53739,52299,1440,1008,245,1.0,,0.2515,113,True,415,False,0.12
Wind Farm A,45.csv,45,turb_45,anomaly_event,,ZSCORE_REFERENCE,care_common,53739,52299,1440,1008,335,1.0,,0.3983,269,True,390,False,0.29
Wind Farm A,68.csv,68,turb_68,anomaly_event,,ZSCORE_REFERENCE,care_native,54358,52063,2295,2014,1254,0.843,,0.5338,142,True,0,True,0.0
Wind Farm A,0.csv,0,turb_0,anomaly_event,,ZSCORE_REFERENCE,care_native,54986,52148,2838,2012,2018,0.7557,,0.6542,417,True,0,False,2.0
Wind Farm A,40.csv,40,turb_40,anomaly_event,,ZSCORE_REFERENCE,care_native,56158,51219,4939,4508,3148,0.8849,,0.5234,355,True,0,False,1.0
Wind Farm A,45.csv,45,turb_45,anomaly_event,,ZSCORE_REFERENCE,care_native,53739,52299,1440,1008,720,1.0,,0.6002,395,True,6,False,2.96
Wind Farm A,84.csv,84,turb_84,anomaly_event,,ZSCORE_REFERENCE,care_native,53772,52335,1437,1005,456,1.0,,0.2662,97,True,0,False,2.0
Wind Farm B,7.csv,7,turb_7,anomaly_event,,CARE_PUBLISHED_IF,care_common,57888,52559,5329,4465,412,0.0526,,0.0472,279,True,92,False,0.36
Wind Farm B,53.csv,53,turb_53,anomaly_event,,CARE_PUBLISHED_IF,care_common,58607,52559,6048,6048,998,0.4089,,0.177,286,True,42,True,-0.29
Wind Farm B,27.csv,27,turb_27,anomaly_event,,CARE_PUBLISHED_IF,care_common,62268,52331,9937,8785,1214,0.0986,,0.0436,826,True,510,True,-1.54
Wind Farm B,77.csv,77,turb_77,anomaly_event,,CARE_PUBLISHED_IF,care_common,61776,52559,9217,8641,1013,0.0747,,0.0691,780,True,0,False,3.0
Wind Farm B,7.csv,7,turb_7,anomaly_event,,RAI_CHAMPION,care_common,57888,52559,5329,4465,238,0.0047,,0.0307,112,True,135,False,0.06
Wind Farm B,53.csv,53,turb_53,anomaly_event,,RAI_CHAMPION,care_common,58607,52559,6048,6048,299,0.024,,0.0651,235,True,56,True,-0.39
Wind Farm B,27.csv,27,turb_27,anomaly_event,,RAI_CHAMPION,care_common,62268,52331,9937,8785,1015,0.0036,,0.0118,852,True,511,True,-1.55
Wind Farm B,77.csv,77,turb_77,anomaly_event,,RAI_CHAMPION,care_common,61776,52559,9217,8641,723,0.0101,,0.0386,420,True,0,False,3.0
Wind Farm B,7.csv,7,turb_7,anomaly_event,,RAI_CHAMPION,care_native,57888,52559,5329,4465,238,0.0047,,0.0307,112,True,135,False,0.06
Wind Farm B,53.csv,53,turb_53,anomaly_event,,RAI_CHAMPION,care_native,58607,52559,6048,6048,299,0.024,,0.0651,235,True,56,True,-0.39
Wind Farm B,27.csv,27,turb_27,anomaly_event,,RAI_CHAMPION,care_native,62268,52331,9937,8785,1015,0.0036,,0.0118,852,True,511,True,-1.55
Wind Farm B,77.csv,77,turb_77,anomaly_event,,RAI_CHAMPION,care_native,61776,52559,9217,8641,723,0.0101,,0.0386,420,True,0,False,3.0
Wind Farm B,34.csv,34,turb_34,anomaly_event,,ZSCORE_REFERENCE,care_native,56564,52531,4033,3169,1996,0.613,,0.4369,110,True,3,True,-0.02
Wind Farm B,7.csv,7,turb_7,anomaly_event,,ZSCORE_REFERENCE,care_native,57888,52559,5329,4465,1999,0.6047,,0.3162,418,True,31,False,0.78
Wind Farm B,53.csv,53,turb_53,anomaly_event,,ZSCORE_REFERENCE,care_native,58607,52559,6048,6048,4500,0.9308,,0.7537,337,True,2,True,-0.01
Wind Farm B,27.csv,27,turb_27,anomaly_event,,ZSCORE_REFERENCE,care_native,62268,52331,9937,8785,6712,0.8821,,0.6934,1243,True,1,False,1.99
Wind Farm B,77.csv,77,turb_77,anomaly_event,,ZSCORE_REFERENCE,care_native,61776,52559,9217,8641,4760,0.7701,,0.4543,994,True,0,False,3.0
Wind Farm C,55.csv,55,turb_55,anomaly_event,,CARE_PUBLISHED_IF,care_common,55753,52560,3193,2473,291,0.2819,,0.1216,73,True,17,False,1.88
Wind Farm C,12.csv,12,turb_12,anomaly_event,,CARE_PUBLISHED_IF,care_common,56107,52560,3547,3259,330,0.1369,,0.0913,129,True,0,True,0.0
Wind Farm C,4.csv,4,turb_4,anomaly_event,,CARE_PUBLISHED_IF,care_common,56449,52560,3889,2737,212,0.1116,,0.0189,118,True,57,False,2.6
Wind Farm C,18.csv,18,turb_18,anomaly_event,,CARE_PUBLISHED_IF,care_common,52848,51120,1728,576,648,0.151,,0.0126,537,True,430,True,-0.99
Wind Farm C,39.csv,39,turb_39,anomaly_event,,CARE_PUBLISHED_IF,care_common,53727,52560,1167,735,347,0.0177,,0.3751,241,True,27,False,1.81
Wind Farm C,66.csv,66,turb_66,anomaly_event,,CARE_PUBLISHED_IF,care_common,53503,51696,1807,943,1028,0.0554,,0.7765,797,True,0,True,0.0
Wind Farm C,79.csv,79,turb_79,anomaly_event,,CARE_PUBLISHED_IF,care_common,53281,52560,721,289,126,0.0,,0.2284,115,True,69,False,0.52
Wind Farm C,30.csv,30,turb_30,anomaly_event,,CARE_PUBLISHED_IF,care_common,56111,52560,3551,3263,2790,0.2158,,0.8195,2700,True,33,True,-0.23
Wind Farm C,33.csv,33,turb_33,anomaly_event,,CARE_PUBLISHED_IF,care_common,55873,52560,3313,2881,1091,0.5532,,0.3259,393,True,61,False,1.58
Wind Farm C,11.csv,11,turb_11,anomaly_event,,CARE_PUBLISHED_IF,care_common,56437,52416,4021,3157,1311,0.6787,,0.384,438,True,86,True,-0.6
Wind Farm C,44.csv,44,turb_44,anomaly_event,,CARE_PUBLISHED_IF,care_common,63003,52560,10443,9435,869,0.1019,,0.0559,369,True,0,False,1.0
Wind Farm C,31.csv,31,turb_31,anomaly_event,,CARE_PUBLISHED_IF,care_common,54589,52560,2029,1021,576,0.0828,,0.5936,313,True,66,False,1.54
Wind Farm C,67.csv,67,turb_67,anomaly_event,,CARE_PUBLISHED_IF,care_common,61489,52560,8929,8353,615,0.1862,,0.0553,92,True,0,False,1.0
Wind Farm C,91.csv,91,turb_91,anomaly_event,,CARE_PUBLISHED_IF,care_common,56608,52560,4048,2896,525,0.0741,,0.0432,246,True,300,True,-1.08
Wind Farm C,5.csv,5,turb_5,anomaly_event,,CARE_PUBLISHED_IF,care_common,52795,52128,667,523,298,0.0499,,0.275,160,True,0,False,1.0
