farm,turbine,dataset,condition,model,label,description,detected,first_alarm_ts,first_alarm_care_id,lead_time_days,maximum_criticality,alarm_count,coverage_fbeta,earliness,accuracy
Wind Farm A,CARE-WT-0,73,target_specific,isolation_forest,anomaly_event,Hydraulic group,False,2023-06-06 13:50:00+00:00,52326.0,9.91,8,161,0.2527,0.0566,
Wind Farm A,CARE-WT-0,0,target_specific,isolation_forest,anomaly_event,Generator bearing failure,False,2023-08-03 06:20:00+00:00,52149.0,15.993,2,291,0.3763,0.1361,
Wind Farm A,CARE-WT-0,26,target_specific,isolation_forest,anomaly_event,Hydraulic group,False,2023-10-11 15:00:00+00:00,52289.0,6.806,8,97,0.2625,0.0749,
Wind Farm A,CARE-WT-0,24,target_specific,isolation_forest,normal_behavior,,False,2023-04-23 16:20:00+00:00,52297.0,0.0,0,111,,,0.9497
Wind Farm A,CARE-WT-0,71,target_specific,isolation_forest,normal_behavior,,False,2023-12-31 00:30:00+00:00,52298.0,0.0,0,161,,,0.9154
Wind Farm A,CARE-WT-0,73,cross_turbine,isolation_forest,anomaly_event,Hydraulic group,False,2023-06-06 14:10:00+00:00,52328.0,9.896,5,195,0.2969,0.0706,
Wind Farm A,CARE-WT-0,0,cross_turbine,isolation_forest,anomaly_event,Generator bearing failure,False,2023-08-03 23:40:00+00:00,52253.0,15.271,2,333,0.4337,0.171,
Wind Farm A,CARE-WT-0,26,cross_turbine,isolation_forest,anomaly_event,Hydraulic group,False,2023-10-14 12:10:00+00:00,52704.0,3.924,5,75,0.2239,0.0625,
Wind Farm A,CARE-WT-0,24,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-24 23:40:00+00:00,52485.0,0.0,0,133,,,0.9397
Wind Farm A,CARE-WT-0,71,cross_turbine,isolation_forest,normal_behavior,,False,2023-12-31 00:20:00+00:00,52297.0,0.0,0,129,,,0.9322
Wind Farm A,CARE-WT-10,40,target_specific,isolation_forest,anomaly_event,Generator bearing failure,False,2023-12-23 09:10:00+00:00,51274.0,32.16,13,359,0.2733,0.0756,
Wind Farm A,CARE-WT-10,42,target_specific,isolation_forest,anomaly_event,Hydraulic group,False,2023-09-09 23:20:00+00:00,52492.0,5.688,2,36,0.1077,0.0284,
Wind Farm A,CARE-WT-10,10,target_specific,isolation_forest,anomaly_event,Gearbox failure,False,2023-10-10 21:20:00+00:00,52399.0,8.472,0,80,0.3038,0.0722,
Wind Farm A,CARE-WT-10,3,target_specific,isolation_forest,normal_behavior,,False,2023-04-27 04:00:00+00:00,52335.0,0.0,1,178,,,0.9366
Wind Farm A,CARE-WT-10,17,target_specific,isolation_forest,normal_behavior,,False,2023-11-02 11:30:00+00:00,52430.0,0.0,0,100,,,0.9516
Wind Farm A,CARE-WT-10,40,cross_turbine,isolation_forest,anomaly_event,Generator bearing failure,False,2023-12-23 09:20:00+00:00,51275.0,32.153,13,253,0.2177,0.0467,
Wind Farm A,CARE-WT-10,42,cross_turbine,isolation_forest,anomaly_event,Hydraulic group,False,2023-09-08 15:50:00+00:00,52303.0,7.0,2,42,0.1318,0.0361,
Wind Farm A,CARE-WT-10,10,cross_turbine,isolation_forest,anomaly_event,Gearbox failure,False,2023-10-10 21:20:00+00:00,52399.0,8.472,0,104,0.3582,0.0919,
Wind Farm A,CARE-WT-10,3,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-27 03:20:00+00:00,52331.0,0.0,0,217,,,0.9205
Wind Farm A,CARE-WT-10,17,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-01 15:50:00+00:00,52312.0,0.0,0,107,,,0.9483
Wind Farm A,CARE-WT-11,68,target_specific,isolation_forest,anomaly_event,Transformer failure,False,2023-07-30 00:50:00+00:00,52132.0,13.514,45,275,0.3,0.0495,
Wind Farm A,CARE-WT-11,25,target_specific,isolation_forest,normal_behavior,,False,2023-05-22 11:10:00+00:00,52315.0,0.0,1,267,,,0.863
Wind Farm A,CARE-WT-11,69,target_specific,isolation_forest,normal_behavior,,False,2023-09-03 00:50:00+00:00,52364.0,0.0,0,119,,,0.9422
Wind Farm A,CARE-WT-11,92,target_specific,isolation_forest,normal_behavior,,False,2023-04-05 03:30:00+00:00,52587.0,0.0,0,413,,,0.7274
Wind Farm A,CARE-WT-11,68,cross_turbine,isolation_forest,anomaly_event,Transformer failure,False,2023-07-30 00:50:00+00:00,52132.0,13.514,57,367,0.3629,0.0633,
Wind Farm A,CARE-WT-11,25,cross_turbine,isolation_forest,normal_behavior,,False,2023-05-22 11:10:00+00:00,52315.0,0.0,2,349,,,0.8213
