farm,turbine,dataset,condition,model,label,description,detected,first_alarm_ts,first_alarm_care_id,lead_time_days,maximum_criticality,alarm_count,coverage_fbeta,earliness,accuracy
Wind Farm A,CARE-WT-0,24,target_specific,isolation_forest,normal_behavior,,False,2023-04-23 16:20:00+00:00,52297,0.0,0,111,,,0.9497
Wind Farm A,CARE-WT-0,71,target_specific,isolation_forest,normal_behavior,,False,2023-12-31 00:30:00+00:00,52298,0.0,0,161,,,0.9154
Wind Farm A,CARE-WT-0,24,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-24 23:40:00+00:00,52485,0.0,0,133,,,0.9397
Wind Farm A,CARE-WT-0,71,cross_turbine,isolation_forest,normal_behavior,,False,2023-12-31 00:20:00+00:00,52297,0.0,0,129,,,0.9322
Wind Farm A,CARE-WT-10,3,target_specific,isolation_forest,normal_behavior,,False,2023-04-27 04:00:00+00:00,52335,0.0,1,178,,,0.9366
Wind Farm A,CARE-WT-10,17,target_specific,isolation_forest,normal_behavior,,False,2023-11-02 11:30:00+00:00,52430,0.0,0,100,,,0.9516
Wind Farm A,CARE-WT-10,3,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-27 03:20:00+00:00,52331,0.0,0,217,,,0.9205
Wind Farm A,CARE-WT-10,17,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-01 15:50:00+00:00,52312,0.0,0,107,,,0.9483
Wind Farm A,CARE-WT-11,25,target_specific,isolation_forest,normal_behavior,,False,2023-05-22 11:10:00+00:00,52315,0.0,1,267,,,0.863
Wind Farm A,CARE-WT-11,69,target_specific,isolation_forest,normal_behavior,,False,2023-09-03 00:50:00+00:00,52364,0.0,0,119,,,0.9422
Wind Farm A,CARE-WT-11,92,target_specific,isolation_forest,normal_behavior,,False,2023-04-05 03:30:00+00:00,52587,0.0,0,413,,,0.7274
Wind Farm A,CARE-WT-11,25,cross_turbine,isolation_forest,normal_behavior,,False,2023-05-22 11:10:00+00:00,52315,0.0,2,349,,,0.8213
Wind Farm A,CARE-WT-11,69,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-02 01:00:00+00:00,52221,0.0,0,143,,,0.9305
Wind Farm A,CARE-WT-11,92,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-03 19:00:00+00:00,52392,0.0,0,286,,,0.8112
Wind Farm A,CARE-WT-13,38,target_specific,isolation_forest,normal_behavior,,False,2023-06-30 02:40:00+00:00,52645,0.0,0,188,,,0.9114
Wind Farm A,CARE-WT-13,14,target_specific,isolation_forest,normal_behavior,,False,2023-03-02 14:00:00+00:00,52296,0.0,1,272,,,0.8302
Wind Farm A,CARE-WT-13,38,cross_turbine,isolation_forest,normal_behavior,,False,2023-06-28 17:40:00+00:00,52447,0.0,1,166,,,0.9227
Wind Farm A,CARE-WT-13,14,cross_turbine,isolation_forest,normal_behavior,,False,2023-03-02 15:10:00+00:00,52303,0.0,0,228,,,0.8571
Wind Farm A,CARE-WT-21,13,target_specific,isolation_forest,normal_behavior,,False,2023-04-30 07:40:00+00:00,50537,0.0,0,470,,,0.8506
Wind Farm A,CARE-WT-21,51,target_specific,isolation_forest,normal_behavior,,False,2023-10-05 04:50:00+00:00,52063,0.0,7,184,,,0.9139
Wind Farm A,CARE-WT-21,13,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-30 07:40:00+00:00,50537,0.0,3,494,,,0.8455
Wind Farm A,CARE-WT-21,51,cross_turbine,isolation_forest,normal_behavior,,False,2023-10-05 11:40:00+00:00,52104,0.0,4,171,,,0.9201
Wind Farm A,CARE-WT-11,25,target_specific,zscore_threshold,normal_behavior,,False,2023-05-22 13:50:00+00:00,52331,0.0,0,17,,,0.9912
Wind Farm A,CARE-WT-11,92,target_specific,zscore_threshold,normal_behavior,,False,2023-04-06 14:50:00+00:00,52799,0.0,0,12,,,0.9921
Wind Farm A,CARE-WT-11,25,cross_turbine,zscore_threshold,normal_behavior,,False,2023-05-22 13:50:00+00:00,52331,0.0,0,34,,,0.9825
Wind Farm A,CARE-WT-11,92,cross_turbine,zscore_threshold,normal_behavior,,False,2023-04-06 14:50:00+00:00,52799,0.0,0,12,,,0.9921
Wind Farm A,CARE-WT-13,38,target_specific,zscore_threshold,normal_behavior,,False,2023-07-02 14:50:00+00:00,53006,0.0,0,5,,,0.9976
Wind Farm A,CARE-WT-13,14,target_specific,zscore_threshold,normal_behavior,,False,2023-03-02 16:30:00+00:00,52311,0.0,0,25,,,0.9843
Wind Farm A,CARE-WT-13,38,cross_turbine,zscore_threshold,normal_behavior,,False,2023-07-02 15:00:00+00:00,53007,0.0,0,2,,,0.9991
Wind Farm A,CARE-WT-21,13,target_specific,zscore_threshold,normal_behavior,,False,2023-05-19 12:30:00+00:00,53302,0.0,0,82,,,0.9739
Wind Farm A,CARE-WT-21,51,target_specific,zscore_threshold,normal_behavior,,False,2023-10-05 14:00:00+00:00,52118,0.0,0,1,,,0.9995
Wind Farm A,CARE-WT-21,13,cross_turbine,zscore_threshold,normal_behavior,,False,2023-05-14 15:50:00+00:00,52602,0.0,0,137,,,0.9565
Wind Farm A,CARE-WT-21,51,cross_turbine,zscore_threshold,normal_behavior,,False,2023-10-05 13:20:00+00:00,52114,0.0,0,6,,,0.9969
Wind Farm B,CARE-WT-0,21,target_specific,isolation_forest,normal_behavior,,False,2023-09-26 00:50:00+00:00,52677,0.0,0,259,,,0.7959
Wind Farm B,CARE-WT-0,21,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-26 00:50:00+00:00,52677,0.0,0,279,,,0.7801
Wind Farm B,CARE-WT-11,74,target_specific,isolation_forest,normal_behavior,,False,2024-01-01 03:30:00+00:00,52556,0.0,6,388,,,0.8784
Wind Farm B,CARE-WT-11,74,cross_turbine,isolation_forest,normal_behavior,,False,2024-01-01 03:40:00+00:00,52557,0.0,8,485,,,0.848
Wind Farm B,CARE-WT-12,86,target_specific,isolation_forest,normal_behavior,,False,2023-04-26 17:30:00+00:00,52559,0.0,4,165,,,0.9471
Wind Farm B,CARE-WT-12,86,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-26 17:30:00+00:00,52559,0.0,4,168,,,0.9454
Wind Farm B,CARE-WT-13,2,target_specific,isolation_forest,normal_behavior,,False,2023-08-07 22:10:00+00:00,52576,0.0,0,194,,,0.9102
Wind Farm B,CARE-WT-13,2,cross_turbine,isolation_forest,normal_behavior,,False,2023-08-07 22:10:00+00:00,52576,0.0,0,194,,,0.9102
Wind Farm B,CARE-WT-14,52,target_specific,isolation_forest,normal_behavior,,False,2023-07-13 10:00:00+00:00,52735,0.0,0,57,,,0.9791
Wind Farm B,CARE-WT-14,52,cross_turbine,isolation_forest,normal_behavior,,False,2023-07-13 10:00:00+00:00,52735,0.0,0,65,,,0.9762
Wind Farm B,CARE-WT-2,83,target_specific,isolation_forest,normal_behavior,,False,2023-06-28 11:40:00+00:00,52111,0.0,41,1110,,,0.9321
Wind Farm B,CARE-WT-2,83,cross_turbine,isolation_forest,normal_behavior,,False,2023-06-28 11:40:00+00:00,52111,0.0,43,1179,,,0.9263
Wind Farm B,CARE-WT-5,82,target_specific,isolation_forest,normal_behavior,,False,2023-09-23 22:20:00+00:00,52827,0.0,1,279,,,0.8852
Wind Farm B,CARE-WT-5,82,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-23 22:20:00+00:00,52827,0.0,1,289,,,0.8793
Wind Farm B,CARE-WT-6,23,target_specific,isolation_forest,normal_behavior,,True,2023-09-16 23:10:00+00:00,52593,0.0,109,345,,,0.8755
Wind Farm B,CARE-WT-6,23,cross_turbine,isolation_forest,normal_behavior,,True,2023-09-16 23:10:00+00:00,52593,0.0,113,357,,,0.8698
Wind Farm B,CARE-WT-7,87,target_specific,isolation_forest,normal_behavior,,False,2023-09-12 13:10:00+00:00,52416,0.0,18,428,,,0.8606
Wind Farm B,CARE-WT-7,87,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-12 13:10:00+00:00,52416,0.0,18,411,,,0.8664
Wind Farm B,CARE-WT-0,21,cross_turbine,zscore_threshold,normal_behavior,,False,2023-10-01 01:20:00+00:00,53400,0.0,0,1,,,0.9992
Wind Farm B,CARE-WT-11,74,target_specific,zscore_threshold,normal_behavior,,False,2024-01-12 10:50:00+00:00,54184,0.0,0,36,,,0.9881
Wind Farm B,CARE-WT-11,74,cross_turbine,zscore_threshold,normal_behavior,,False,2024-01-12 10:50:00+00:00,54184,0.0,0,36,,,0.9881
Wind Farm B,CARE-WT-2,83,cross_turbine,zscore_threshold,normal_behavior,,False,2023-10-02 00:00:00+00:00,65865,0.0,1,1,,,1.0
Wind Farm B,CARE-WT-5,82,target_specific,zscore_threshold,normal_behavior,,False,2023-09-29 02:10:00+00:00,53570,0.0,0,3,,,0.9987
Wind Farm B,CARE-WT-5,82,cross_turbine,zscore_threshold,normal_behavior,,False,2023-09-29 02:10:00+00:00,53570,0.0,0,3,,,0.9987
Wind Farm C,CARE-WT-12,50,target_specific,isolation_forest,normal_behavior,,False,2023-11-01 20:00:00+00:00,51816,0.0,0,104,,,0.9695
Wind Farm C,CARE-WT-12,50,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-01 15:40:00+00:00,51790,0.0,3,350,,,0.9009
Wind Farm C,CARE-WT-13,29,target_specific,isolation_forest,normal_behavior,,False,2023-03-06 08:10:00+00:00,52597,0.0,1,345,,,0.8497
Wind Farm C,CARE-WT-13,29,cross_turbine,isolation_forest,normal_behavior,,False,2023-03-06 08:10:00+00:00,52597,0.0,1,230,,,0.9001
Wind Farm C,CARE-WT-14,85,target_specific,isolation_forest,normal_behavior,,False,2023-01-10 18:50:00+00:00,50866,0.0,4,386,,,0.7598
Wind Farm C,CARE-WT-14,85,cross_turbine,isolation_forest,normal_behavior,,False,2023-01-10 18:00:00+00:00,50861,0.0,4,416,,,0.7386
Wind Farm C,CARE-WT-15,64,target_specific,isolation_forest,normal_behavior,,False,2023-09-23 00:10:00+00:00,52702,0.0,8,335,,,0.8239
Wind Farm C,CARE-WT-15,64,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-25 02:50:00+00:00,53006,0.0,8,188,,,0.9036
Wind Farm C,CARE-WT-16,46,target_specific,isolation_forest,normal_behavior,,False,2023-05-09 11:40:00+00:00,52589,0.0,1,149,,,0.9436
Wind Farm C,CARE-WT-16,65,target_specific,isolation_forest,normal_behavior,,False,2023-11-03 08:40:00+00:00,52586,0.0,2,305,,,0.9102
Wind Farm C,CARE-WT-16,46,cross_turbine,isolation_forest,normal_behavior,,False,2023-05-09 10:20:00+00:00,52581,0.0,1,76,,,0.9714
Wind Farm C,CARE-WT-16,65,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-03 06:40:00+00:00,52574,0.0,3,282,,,0.919
Wind Farm C,CARE-WT-2,36,target_specific,isolation_forest,normal_behavior,,False,2023-08-15 23:00:00+00:00,52579,0.0,4,241,,,0.9203
Wind Farm C,CARE-WT-2,36,cross_turbine,isolation_forest,normal_behavior,,False,2023-08-15 23:00:00+00:00,52579,0.0,1,205,,,0.9301
Wind Farm C,CARE-WT-21,62,target_specific,isolation_forest,normal_behavior,,False,2023-11-04 17:50:00+00:00,52457,0.0,0,42,,,0.9591
Wind Farm C,CARE-WT-21,62,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-04 17:00:00+00:00,52452,0.0,1,55,,,0.9483
Wind Farm C,CARE-WT-23,80,target_specific,isolation_forest,normal_behavior,,False,2023-10-07 12:50:00+00:00,52624,0.0,1,90,,,0.9631
Wind Farm C,CARE-WT-23,37,target_specific,isolation_forest,normal_behavior,,False,2023-02-26 22:00:00+00:00,51576,0.0,7,319,,,0.8724
Wind Farm C,CARE-WT-23,80,cross_turbine,isolation_forest,normal_behavior,,False,2023-10-07 12:50:00+00:00,52624,0.0,1,107,,,0.9549
Wind Farm C,CARE-WT-23,37,cross_turbine,isolation_forest,normal_behavior,,False,2023-02-26 08:30:00+00:00,51495,0.0,7,197,,,0.9228
Wind Farm C,CARE-WT-32,59,target_specific,isolation_forest,normal_behavior,,False,2023-02-17 18:00:00+00:00,52236,0.0,1,474,,,0.8262
Wind Farm C,CARE-WT-32,59,cross_turbine,isolation_forest,normal_behavior,,False,2023-02-18 06:00:00+00:00,52308,0.0,1,345,,,0.8733
Wind Farm C,CARE-WT-33,41,target_specific,isolation_forest,normal_behavior,,False,2023-01-14 05:00:00+00:00,51408,0.0,11,568,,,0.8723
Wind Farm C,CARE-WT-33,41,cross_turbine,isolation_forest,normal_behavior,,False,2023-01-14 05:00:00+00:00,51408,0.0,11,658,,,0.8508
Wind Farm C,CARE-WT-34,56,target_specific,isolation_forest,normal_behavior,,False,2023-07-27 10:20:00+00:00,51147,0.0,10,61,,,0.9832
Wind Farm C,CARE-WT-34,94,target_specific,isolation_forest,normal_behavior,,False,2023-06-10 19:50:00+00:00,52183,0.0,2,61,,,0.9784
Wind Farm C,CARE-WT-34,56,cross_turbine,isolation_forest,normal_behavior,,False,2023-07-27 10:10:00+00:00,51146,0.0,23,74,,,0.9823
Wind Farm C,CARE-WT-34,94,cross_turbine,isolation_forest,normal_behavior,,False,2023-06-10 19:50:00+00:00,52183,0.0,3,35,,,0.9896
Wind Farm C,CARE-WT-35,58,target_specific,isolation_forest,normal_behavior,,False,2023-10-13 18:00:00+00:00,52616,0.0,2,61,,,0.9682
Wind Farm C,CARE-WT-35,48,target_specific,isolation_forest,normal_behavior,,False,2023-04-23 13:40:00+00:00,52570,0.0,8,90,,,0.9696
Wind Farm C,CARE-WT-35,58,cross_turbine,isolation_forest,normal_behavior,,False,2023-10-13 18:10:00+00:00,52617,0.0,1,56,,,0.9704
Wind Farm C,CARE-WT-35,48,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-23 13:30:00+00:00,52569,0.0,8,85,,,0.9715
Wind Farm C,CARE-WT-38,6,target_specific,isolation_forest,normal_behavior,,False,2023-12-01 13:20:00+00:00,52647,0.0,2,173,,,0.924
Wind Farm C,CARE-WT-38,6,cross_turbine,isolation_forest,normal_behavior,,False,2023-12-01 17:00:00+00:00,52669,0.0,2,93,,,0.9594
Wind Farm C,CARE-WT-42,32,target_specific,isolation_forest,normal_behavior,,False,2023-09-27 10:30:00+00:00,52591,0.0,2,53,,,0.9798
Wind Farm C,CARE-WT-42,32,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-27 10:30:00+00:00,52591,0.0,2,54,,,0.9794
Wind Farm C,CARE-WT-43,61,target_specific,isolation_forest,normal_behavior,,False,2023-05-05 11:40:00+00:00,52630,0.0,2,648,,,0.7801
Wind Farm C,CARE-WT-43,93,target_specific,isolation_forest,normal_behavior,,False,2023-07-31 21:40:00+00:00,52595,0.0,36,567,,,0.8387
