farm,model,condition,n_turbines_total,n_turbines_computed,n_turbines_insufficient_data,mean_care,median_care,std_care,min_care,max_care,ci_95_care_lower,ci_95_care_upper,mean_coverage,mean_accuracy,mean_reliability,mean_earliness,best_held_out_turbine,worst_held_out_turbine
Wind Farm A,isolation_forest,target_specific,5,5,0,0.5078,0.4503,0.1326,0.4076,0.7691,0.4247,0.6385,0.4548,0.8948,0.1667,0.1277,CARE-WT-13,CARE-WT-11
Wind Farm A,isolation_forest,cross_turbine,5,5,0,0.51,0.4574,0.1329,0.427,0.7745,0.4344,0.6429,0.4604,0.8995,0.1667,0.1238,CARE-WT-13,CARE-WT-11
Wind Farm A,zscore_threshold,target_specific,5,5,0,0.3171,0.3953,0.2965,0.0,0.7923,0.0791,0.5551,0.2005,0.9944,0.1667,0.0294,CARE-WT-13,CARE-WT-21
Wind Farm A,zscore_threshold,cross_turbine,5,5,0,0.362,0.3968,0.1994,0.0,0.6146,0.1587,0.5275,0.2062,0.9935,0.0,0.0165,CARE-WT-13,CARE-WT-11
Wind Farm B,isolation_forest,target_specific,9,6,3,0.4781,0.4424,0.0934,0.3848,0.6129,0.405,0.5536,0.2356,0.896,0.2593,0.0788,CARE-WT-7,CARE-WT-11
Wind Farm B,isolation_forest,cross_turbine,9,6,3,0.4418,0.4209,0.069,0.3834,0.5876,0.3979,0.5022,0.2352,0.8891,0.0926,0.0761,CARE-WT-6,CARE-WT-13
Wind Farm B,zscore_threshold,target_specific,9,6,3,0.2678,0.3981,0.1894,0.0,0.4097,0.132,0.4019,0.0076,0.9985,0.0,0.002,CARE-WT-6,CARE-WT-11
Wind Farm B,zscore_threshold,cross_turbine,9,6,3,0.2678,0.3982,0.1894,0.0,0.4092,0.1322,0.4018,0.0076,0.9984,0.0,0.0019,CARE-WT-6,CARE-WT-11
Wind Farm C,isolation_forest,target_specific,22,19,3,0.4684,0.4428,0.0872,0.3585,0.7562,0.4349,0.5081,0.2669,0.8953,0.1341,0.123,CARE-WT-43,CARE-WT-52
Wind Farm C,isolation_forest,cross_turbine,22,19,3,0.4676,0.4398,0.0783,0.3316,0.6244,0.4334,0.5059,0.2142,0.9152,0.1779,0.0911,CARE-WT-32,CARE-WT-52
Wind Farm C,zscore_threshold,target_specific,22,19,3,0.3139,0.3957,0.1939,0.0,0.5666,0.222,0.3976,0.0478,0.9879,0.0439,0.0184,CARE-WT-16,CARE-WT-52
Wind Farm C,zscore_threshold,cross_turbine,22,19,3,0.355,0.4001,0.1617,0.0,0.5668,0.2639,0.4234,0.0423,0.988,0.0439,0.0189,CARE-WT-16,CARE-WT-53
