farm,column_name,base_sensor,statistics_type,is_numeric,is_included_native,is_included_common,common_signal_name,exclusion_reason,unit,description,is_angle,is_counter
Wind Farm A,time_stamp,time_stamp,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm A,asset_id,asset_id,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm A,id,id,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm A,train_test,train_test,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm A,status_type_id,status_type_id,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm A,sensor_0_avg,sensor_0,avg,True,True,False,,,�C,Ambient temperature,False,False
Wind Farm A,sensor_1_avg,sensor_1,avg,True,True,False,,,�,Wind absolute direction,True,False
Wind Farm A,sensor_2_avg,sensor_2,avg,True,True,False,,,�,Wind relative direction,True,False
Wind Farm A,wind_speed_3_avg,wind_speed_3,avg,True,True,True,wind_speed,,m/s,Windspeed,False,False
Wind Farm A,wind_speed_4_avg,wind_speed_4,avg,True,True,False,,,m/s,Estimated windspeed,False,False
Wind Farm A,wind_speed_3_max,wind_speed_3,max,True,True,False,,,m/s,Windspeed,False,False
Wind Farm A,wind_speed_3_min,wind_speed_3,min,True,True,False,,,m/s,Windspeed,False,False
Wind Farm A,wind_speed_3_std,wind_speed_3,std,True,True,False,,,m/s,Windspeed,False,False
Wind Farm A,sensor_5_avg,sensor_5,avg,True,True,False,,,�,Pitch angle,True,False
Wind Farm A,sensor_5_max,sensor_5,max,True,True,False,,,�,Pitch angle,True,False
Wind Farm A,sensor_5_min,sensor_5,min,True,True,False,,,�,Pitch angle,True,False
Wind Farm A,sensor_5_std,sensor_5,std,True,True,False,,,�,Pitch angle,True,False
Wind Farm A,sensor_6_avg,sensor_6,avg,True,True,False,,,�C,Temperature in the hub controller,False,False
Wind Farm A,sensor_7_avg,sensor_7,avg,True,True,False,,,�C,Temperature in the top nacelle controller,False,False
Wind Farm A,sensor_8_avg,sensor_8,avg,True,True,False,,,�C,Temperature in the choke coils on the VCS-section,False,False
Wind Farm A,sensor_9_avg,sensor_9,avg,True,True,False,,,�C,Temperature on the VCP-board,False,False
Wind Farm A,sensor_10_avg,sensor_10,avg,True,True,False,,,�C,Temperature in the VCS cooling water,False,False
Wind Farm A,sensor_11_avg,sensor_11,avg,True,True,False,,,�C,Temperature in gearbox bearing on high speed shaft,False,False
Wind Farm A,sensor_12_avg,sensor_12,avg,True,True,False,,,�C,Temperature oil in gearbox,False,False
Wind Farm A,sensor_13_avg,sensor_13,avg,True,True,False,,,�C,Temperature in generator bearing 2 (Drive End),False,False
Wind Farm A,sensor_14_avg,sensor_14,avg,True,True,False,,,�C,Temperature in generator bearing 1 (Non-Drive End),False,False
Wind Farm A,sensor_15_avg,sensor_15,avg,True,True,False,,,�C,Temperature inside generator in stator windings phase 1,False,False
Wind Farm A,sensor_16_avg,sensor_16,avg,True,True,False,,,�C,Temperature inside generator in stator windings phase 2,False,False
Wind Farm A,sensor_17_avg,sensor_17,avg,True,True,False,,,�C,Temperature inside generator in stator windings phase 3,False,False
Wind Farm A,sensor_18_avg,sensor_18,avg,True,True,False,,,rpm,Generator rpm in latest period,False,False
Wind Farm A,sensor_18_max,sensor_18,max,True,True,False,,,rpm,Generator rpm in latest period,False,False
Wind Farm A,sensor_18_min,sensor_18,min,True,True,False,,,rpm,Generator rpm in latest period,False,False
Wind Farm A,sensor_18_std,sensor_18,std,True,True,False,,,rpm,Generator rpm in latest period,False,False
Wind Farm A,sensor_19_avg,sensor_19,avg,True,True,False,,,�C,Temperature in the split ring chamber,False,False
Wind Farm A,sensor_20_avg,sensor_20,avg,True,True,False,,,�C,Temperature in the busbar section,False,False
Wind Farm A,sensor_21_avg,sensor_21,avg,True,True,False,,,�C,Temperature measured by the IGBT-driver on the grid side inverter,False,False
Wind Farm A,sensor_22_avg,sensor_22,avg,True,True,False,,,nan,Actual phase displacement,False,False
Wind Farm A,sensor_23_avg,sensor_23,avg,True,True,False,,,A,Averaged current in phase 1,False,False
Wind Farm A,sensor_24_avg,sensor_24,avg,True,True,False,,,A,Averaged current in phase 2,False,False
Wind Farm A,sensor_25_avg,sensor_25,avg,True,True,False,,,A,Averaged current in phase 3,False,False
Wind Farm A,sensor_26_avg,sensor_26,avg,True,True,False,,,Hz,Grid frequency,False,False
Wind Farm A,reactive_power_27_avg,reactive_power_27,avg,True,True,False,,,kVAr,Possible grid capacitive reactive power,False,False
Wind Farm A,reactive_power_27_max,reactive_power_27,max,True,True,False,,,kVAr,Possible grid capacitive reactive power,False,False
Wind Farm A,reactive_power_27_min,reactive_power_27,min,True,True,False,,,kVAr,Possible grid capacitive reactive power,False,False
Wind Farm A,reactive_power_27_std,reactive_power_27,std,True,True,False,,,kVAr,Possible grid capacitive reactive power,False,False
Wind Farm A,reactive_power_28_avg,reactive_power_28,avg,True,True,False,,,kVAr,Possible grid inductive reactive power,False,False
Wind Farm A,reactive_power_28_max,reactive_power_28,max,True,True,False,,,kVAr,Possible grid inductive reactive power,False,False
Wind Farm A,reactive_power_28_min,reactive_power_28,min,True,True,False,,,kVAr,Possible grid inductive reactive power,False,False
Wind Farm A,reactive_power_28_std,reactive_power_28,std,True,True,False,,,kVAr,Possible grid inductive reactive power,False,False
Wind Farm A,power_29_avg,power_29,avg,True,True,True,active_power,,kW,Possible grid active power,False,False
Wind Farm A,power_29_max,power_29,max,True,True,False,,,kW,Possible grid active power,False,False
Wind Farm A,power_29_min,power_29,min,True,True,False,,,kW,Possible grid active power,False,False
Wind Farm A,power_29_std,power_29,std,True,True,False,,,kW,Possible grid active power,False,False
Wind Farm A,power_30_avg,power_30,avg,True,True,False,,,kW,Grid power,False,False
Wind Farm A,power_30_max,power_30,max,True,True,False,,,kW,Grid power,False,False
Wind Farm A,power_30_min,power_30,min,True,True,False,,,kW,Grid power,False,False
Wind Farm A,power_30_std,power_30,std,True,True,False,,,kW,Grid power,False,False
Wind Farm A,sensor_31_avg,sensor_31,avg,True,True,False,,,kVAr,Grid reactive power,False,False
Wind Farm A,sensor_31_max,sensor_31,max,True,True,False,,,kVAr,Grid reactive power,False,False
Wind Farm A,sensor_31_min,sensor_31,min,True,True,False,,,kVAr,Grid reactive power,False,False
