farm,turbine_id,model,n_anomaly_datasets,n_normal_datasets,status,care_target_specific,care_cross_turbine,delta_care,coverage_target_specific,coverage_cross_turbine,delta_coverage,accuracy_target_specific,accuracy_cross_turbine,delta_accuracy,reliability_target_specific,reliability_cross_turbine,delta_reliability,earliness_target_specific,earliness_cross_turbine,delta_earliness
Wind Farm A,CARE-WT-0,isolation_forest,3,2,COMPUTED,0.4503,0.4583,0.008,0.2972,0.3182,0.021,0.9325,0.936,0.0035,0.0,0.0,0.0,0.0892,0.1014,0.0122
Wind Farm A,CARE-WT-10,isolation_forest,3,2,COMPUTED,0.4351,0.4326,-0.0025,0.2283,0.2359,0.0076,0.9441,0.9344,-0.0097,0.0,0.0,0.0,0.0587,0.0583,-0.0004
Wind Farm A,CARE-WT-11,isolation_forest,1,3,COMPUTED,0.4076,0.427,0.0194,0.3,0.3629,0.0629,0.8442,0.8544,0.0102,0.0,0.0,0.0,0.0495,0.0633,0.0138
Wind Farm A,CARE-WT-13,isolation_forest,2,2,COMPUTED,0.7691,0.7745,0.0054,1.0,1.0,0.0,0.8708,0.8899,0.0191,0.8333,0.8333,0.0,0.2703,0.2594,-0.0109
Wind Farm A,CARE-WT-21,isolation_forest,2,2,COMPUTED,0.4768,0.4574,-0.0194,0.4485,0.3849,-0.0636,0.8822,0.8828,0.0006,0.0,0.0,0.0,0.1709,0.1367,-0.0342
Wind Farm A,CARE-WT-0,zscore_threshold,3,2,COMPUTED,0.0,0.4018,0.4018,0.0,0.0073,0.0073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019
Wind Farm A,CARE-WT-10,zscore_threshold,3,2,COMPUTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm A,CARE-WT-11,zscore_threshold,1,3,COMPUTED,0.3978,0.3966,-0.0012,0.0,0.0,0.0,0.9944,0.9915,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm A,CARE-WT-13,zscore_threshold,2,2,COMPUTED,0.7923,0.6146,-0.1777,1.0,1.0,0.0,0.991,0.9995,0.0085,0.8333,0.0,-0.8333,0.1462,0.0741,-0.0721
Wind Farm A,CARE-WT-21,zscore_threshold,2,2,COMPUTED,0.3953,0.3968,0.0015,0.0025,0.0239,0.0214,0.9867,0.9767,-0.01,0.0,0.0,0.0,0.0007,0.0066,0.0059
Wind Farm B,CARE-WT-0,isolation_forest,0,1,INSUFFICIENT_DATA,,,,,,,0.7959,0.7801,-0.0158,,,,,,
Wind Farm B,CARE-WT-11,isolation_forest,1,1,COMPUTED,0.3848,0.3887,0.0039,0.1317,0.1986,0.0669,0.8784,0.848,-0.0304,0.0,0.0,0.0,0.0357,0.0488,0.0131
Wind Farm B,CARE-WT-12,isolation_forest,1,1,COMPUTED,0.4552,0.4494,-0.0058,0.2984,0.2802,-0.0182,0.9471,0.9454,-0.0017,0.0,0.0,0.0,0.0832,0.0762,-0.007
Wind Farm B,CARE-WT-13,isolation_forest,1,1,COMPUTED,0.3878,0.3834,-0.0044,0.0918,0.0765,-0.0153,0.9102,0.9102,0.0,0.0,0.0,0.0,0.0271,0.02,-0.0071
Wind Farm B,CARE-WT-14,isolation_forest,1,1,COMPUTED,0.4296,0.4295,-0.0001,0.1449,0.148,0.0031,0.9791,0.9762,-0.0029,0.0,0.0,0.0,0.0448,0.047,0.0022
Wind Farm B,CARE-WT-2,isolation_forest,0,1,INSUFFICIENT_DATA,,,,,,,0.9321,0.9263,-0.0058,,,,,,
Wind Farm B,CARE-WT-5,isolation_forest,0,1,INSUFFICIENT_DATA,,,,,,,0.8852,0.8793,-0.0059,,,,,,
Wind Farm B,CARE-WT-6,isolation_forest,1,1,COMPUTED,0.5982,0.5876,-0.0106,0.4866,0.4595,-0.0271,0.8755,0.8698,-0.0057,0.5556,0.5556,0.0,0.198,0.1833,-0.0147
Wind Farm B,CARE-WT-7,isolation_forest,1,1,COMPUTED,0.6129,0.4124,-0.2005,0.2599,0.2482,-0.0117,0.8606,0.8664,0.0058,1.0,0.0,-1.0,0.0837,0.0811,-0.0026
Wind Farm B,CARE-WT-0,zscore_threshold,0,1,INSUFFICIENT_DATA,,,,,,,1.0,0.9992,-0.0008,,,,,,
Wind Farm B,CARE-WT-11,zscore_threshold,1,1,COMPUTED,0.3961,0.3965,0.0004,0.0035,0.0052,0.0017,0.9881,0.9881,0.0,0.0,0.0,0.0,0.0009,0.0012,0.0003
Wind Farm B,CARE-WT-12,zscore_threshold,1,1,COMPUTED,0.4009,0.4009,0.0,0.0038,0.0038,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0008,0.0008,0.0
Wind Farm B,CARE-WT-13,zscore_threshold,1,1,COMPUTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm B,CARE-WT-14,zscore_threshold,1,1,COMPUTED,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm B,CARE-WT-2,zscore_threshold,0,1,INSUFFICIENT_DATA,,,,,,,1.0,1.0,0.0,,,,,,
Wind Farm B,CARE-WT-5,zscore_threshold,0,1,INSUFFICIENT_DATA,,,,,,,0.9987,0.9987,0.0,,,,,,
Wind Farm B,CARE-WT-6,zscore_threshold,1,1,COMPUTED,0.4097,0.4092,-0.0005,0.0382,0.0365,-0.0017,1.0,1.0,0.0,0.0,0.0,0.0,0.0101,0.0096,-0.0005
Wind Farm B,CARE-WT-7,zscore_threshold,1,1,COMPUTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
