farm,turbine_id,number_of_datasets,anomaly_sequences,normal_sequences,total_rows,data_duration_hours,feature_count,valid_train_pred_pairs,dataset_ids
Wind Farm A,CARE-WT-0,5,3,2,272477,45412.8,2,5,"[0, 24, 26, 71, 73]"
Wind Farm A,CARE-WT-10,5,3,2,274213,45702.2,2,5,"[3, 10, 17, 40, 42]"
Wind Farm A,CARE-WT-11,4,1,3,217950,36325.0,2,4,"[25, 68, 69, 92]"
Wind Farm A,CARE-WT-13,4,2,2,216543,36090.5,2,4,"[14, 38, 45, 84]"
Wind Farm A,CARE-WT-21,4,2,2,215564,35927.3,2,4,"[13, 22, 51, 72]"
Wind Farm B,CARE-WT-0,1,0,1,53514,8919.0,2,1,[21]
Wind Farm B,CARE-WT-11,2,1,1,111876,18646.0,2,2,"[19, 74]"
Wind Farm B,CARE-WT-12,2,1,1,117262,19543.7,2,2,"[77, 86]"
Wind Farm B,CARE-WT-13,2,1,1,112662,18777.0,2,2,"[2, 7]"
Wind Farm B,CARE-WT-14,2,1,1,111832,18638.7,2,2,"[34, 52]"
Wind Farm B,CARE-WT-2,1,0,1,66154,11025.7,2,1,[83]
Wind Farm B,CARE-WT-5,1,0,1,54992,9165.3,2,1,[82]
Wind Farm B,CARE-WT-6,2,1,1,113149,18858.2,2,2,"[23, 53]"
Wind Farm B,CARE-WT-7,2,1,1,117624,19604.0,2,2,"[27, 87]"
Wind Farm C,CARE-WT-12,3,2,1,163089,27181.5,2,3,"[15, 50, 66]"
Wind Farm C,CARE-WT-13,1,0,1,54865,9144.2,2,1,[29]
Wind Farm C,CARE-WT-14,1,0,1,52417,8736.2,2,1,[85]
Wind Farm C,CARE-WT-15,2,1,1,107579,17929.8,2,2,"[64, 78]"
Wind Farm C,CARE-WT-16,4,2,2,220443,36740.5,2,4,"[30, 46, 65, 79]"
Wind Farm C,CARE-WT-2,2,1,1,111555,18592.5,2,2,"[12, 36]"
Wind Farm C,CARE-WT-21,2,1,1,107441,17906.8,2,2,"[47, 62]"
Wind Farm C,CARE-WT-23,3,1,2,164664,27444.0,2,3,"[37, 70, 80]"
Wind Farm C,CARE-WT-32,2,1,1,107660,17943.3,2,2,"[5, 59]"
Wind Farm C,CARE-WT-33,2,1,1,108680,18113.3,2,2,"[41, 49]"
Wind Farm C,CARE-WT-34,4,2,2,217578,36263.0,2,4,"[4, 18, 56, 94]"
Wind Farm C,CARE-WT-35,4,2,2,225808,37634.7,2,4,"[31, 48, 58, 67]"
Wind Farm C,CARE-WT-38,2,1,1,108797,18132.8,2,2,"[6, 81]"
Wind Farm C,CARE-WT-42,2,1,1,111617,18602.8,2,2,"[32, 91]"
Wind Farm C,CARE-WT-43,4,2,2,223768,37294.7,2,4,"[11, 33, 61, 93]"
Wind Farm C,CARE-WT-44,2,1,1,119164,19860.7,2,2,"[44, 75]"
Wind Farm C,CARE-WT-5,1,0,1,54577,9096.2,2,1,[89]
Wind Farm C,CARE-WT-50,2,1,1,110555,18425.8,2,2,"[8, 55]"
Wind Farm C,CARE-WT-52,4,2,2,220383,36730.5,2,4,"[28, 39, 43, 54]"
Wind Farm C,CARE-WT-53,6,3,3,320272,53378.7,2,6,"[1, 16, 20, 35, 60, 76]"
Wind Farm C,CARE-WT-55,3,1,2,166479,27746.5,2,3,"[9, 57, 88]"
Wind Farm C,CARE-WT-56,2,1,1,109745,18290.8,2,2,"[63, 90]"
