farm,model,condition,turbine_id,train_turbines,n_train_datasets,n_test_datasets,n_test_anomaly_datasets,n_test_normal_datasets,mean_coverage_fbeta,mean_earliness_ws,event_reliability_fbeta,mean_accuracy,care_score,event_recall,event_false_alarms,normal_datasets_with_alarms,fp_timestamp_rate,median_lead_time_days,status
Wind Farm A,isolation_forest,target_specific,CARE-WT-0,['CARE-WT-0'],5,5,3,2,0.2972,0.0892,0.0,0.9325,0.4503,0.0,0,2,0.0675,0.0,COMPUTED
Wind Farm A,isolation_forest,cross_turbine,CARE-WT-0,"['CARE-WT-10', 'CARE-WT-11', 'CARE-WT-13', 'CARE-WT-21']",17,5,3,2,0.3182,0.1014,0.0,0.936,0.4583,0.0,0,2,0.064,0.0,COMPUTED
Wind Farm A,isolation_forest,target_specific,CARE-WT-10,['CARE-WT-10'],5,5,3,2,0.2283,0.0587,0.0,0.9441,0.4351,0.0,0,2,0.0559,0.0,COMPUTED
Wind Farm A,isolation_forest,cross_turbine,CARE-WT-10,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-13', 'CARE-WT-21']",17,5,3,2,0.2359,0.0583,0.0,0.9344,0.4326,0.0,0,2,0.0656,0.0,COMPUTED
Wind Farm A,isolation_forest,target_specific,CARE-WT-11,['CARE-WT-11'],4,4,1,3,0.3,0.0495,0.0,0.8442,0.4076,0.0,0,3,0.1558,0.0,COMPUTED
Wind Farm A,isolation_forest,cross_turbine,CARE-WT-11,"['CARE-WT-0', 'CARE-WT-10', 'CARE-WT-13', 'CARE-WT-21']",18,4,1,3,0.3629,0.0633,0.0,0.8544,0.427,0.0,0,3,0.1456,0.0,COMPUTED
Wind Farm A,isolation_forest,target_specific,CARE-WT-13,['CARE-WT-13'],4,4,2,2,1.0,0.2703,0.8333,0.8708,0.7691,0.5,0,2,0.1292,8.986,COMPUTED
Wind Farm A,isolation_forest,cross_turbine,CARE-WT-13,"['CARE-WT-0', 'CARE-WT-10', 'CARE-WT-11', 'CARE-WT-21']",18,4,2,2,1.0,0.2594,0.8333,0.8899,0.7745,0.5,0,2,0.1101,8.986,COMPUTED
Wind Farm A,isolation_forest,target_specific,CARE-WT-21,['CARE-WT-21'],4,4,2,2,0.4485,0.1709,0.0,0.8822,0.4768,0.0,0,2,0.1178,0.0,COMPUTED
Wind Farm A,isolation_forest,cross_turbine,CARE-WT-21,"['CARE-WT-0', 'CARE-WT-10', 'CARE-WT-11', 'CARE-WT-13']",18,4,2,2,0.3849,0.1367,0.0,0.8828,0.4574,0.0,0,2,0.1172,0.0,COMPUTED
Wind Farm A,zscore_threshold,target_specific,CARE-WT-0,['CARE-WT-0'],5,5,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm A,zscore_threshold,cross_turbine,CARE-WT-0,"['CARE-WT-10', 'CARE-WT-11', 'CARE-WT-13', 'CARE-WT-21']",17,5,3,2,0.0073,0.0019,0.0,1.0,0.4018,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm A,zscore_threshold,target_specific,CARE-WT-10,['CARE-WT-10'],5,5,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm A,zscore_threshold,cross_turbine,CARE-WT-10,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-13', 'CARE-WT-21']",17,5,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
