farm,sensor_name,statistic_type,description,unit,is_angle,is_counter,raw_column_matches,resolved_semantic_category,rai_currently_uses,exclusion_reason
Wind Farm A,sensor_0,average,Ambient temperature,�C,False,False,sensor_0_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_1,average,Wind absolute direction,�,True,False,sensor_1_avg,angles,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_2,average,Wind relative direction,�,True,False,sensor_2_avg,angles,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,wind_speed_3,"maximum,minimum,average,std_dev",Windspeed,m/s,False,False,"wind_speed_3_avg, wind_speed_3_max, wind_speed_3_min, wind_speed_3_std",wind_speed,True,
Wind Farm A,wind_speed_4,average,Estimated windspeed,m/s,False,False,wind_speed_4_avg,wind_speed,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_5,"maximum,minimum,std_dev,average",Pitch angle,�,True,False,"sensor_5_avg, sensor_5_max, sensor_5_min, sensor_5_std",pitch,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_6,average,Temperature in the hub controller,�C,False,False,sensor_6_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_7,average,Temperature in the top nacelle controller,�C,False,False,sensor_7_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_8,average,Temperature in the choke coils on the VCS-section,�C,False,False,sensor_8_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_9,average,Temperature on the VCP-board,�C,False,False,sensor_9_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_10,average,Temperature in the VCS cooling water,�C,False,False,sensor_10_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_11,average,Temperature in gearbox bearing on high speed shaft,�C,False,False,sensor_11_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_12,average,Temperature oil in gearbox,�C,False,False,sensor_12_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
