farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PAPER_IF,care_2d,54358,52063,2295,2014,273,0.321,,0.0886,39,False,66,True,-0.46
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PAPER_IF,care_2d,53036,51888,1148,1005,171,0.4885,,0.2001,5,False,4,True,-0.03
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PAPER_IF,care_2d,54082,52065,2017,1009,92,0.2485,,0.0386,2,False,106,False,2.26
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PAPER_IF,care_2d,54042,52313,1729,1009,91,0.16,,0.0325,2,False,40,False,2.72
Wind Farm A,0.csv,0,turb_0,anomaly_event,,CARE_PAPER_IF,care_2d,54986,52148,2838,2012,288,0.4046,,0.1491,0,False,1,False,1.99
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PAPER_IF,care_2d,53702,52261,1441,1009,77,0.1923,,0.0594,9,False,29,True,-0.2
Wind Farm A,40.csv,40,turb_40,anomaly_event,,CARE_PAPER_IF,care_2d,56158,51219,4939,4508,336,0.2979,,0.0537,7,False,58,False,0.6
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PAPER_IF,care_2d,53886,52303,1583,1007,91,0.1683,,0.0479,13,False,189,True,-1.31
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PAPER_IF,care_2d,53592,52323,1269,981,58,0.198,,0.0498,0,False,34,False,1.76
Wind Farm A,45.csv,45,turb_45,anomaly_event,,CARE_PAPER_IF,care_2d,53739,52299,1440,1008,455,1.0,,0.5239,402,True,147,False,1.98
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PAPER_IF,care_2d,53772,52335,1437,1005,33,1.0,,0.0136,9,False,56,False,1.61
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PAPER_IF,care_common,54358,52063,2295,2014,193,0.2123,,0.0458,30,False,69,True,-0.48
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PAPER_IF,care_common,53036,51888,1148,1005,104,0.3561,,0.1288,1,False,4,True,-0.03
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PAPER_IF,care_common,54082,52065,2017,1009,99,0.2124,,0.0313,27,False,242,False,1.32
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PAPER_IF,care_common,54042,52313,1729,1009,189,0.3902,,0.0338,26,False,42,False,2.71
Wind Farm A,0.csv,0,turb_0,anomaly_event,,CARE_PAPER_IF,care_common,54986,52148,2838,2012,758,0.3041,,0.1388,313,True,13,False,1.91
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PAPER_IF,care_common,53702,52261,1441,1009,55,0.2104,,0.0483,2,False,105,True,-0.73
Wind Farm A,40.csv,40,turb_40,anomaly_event,,CARE_PAPER_IF,care_common,56158,51219,4939,4508,1344,0.5975,,0.1746,193,True,98,False,0.32
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PAPER_IF,care_common,53886,52303,1583,1007,108,0.3157,,0.0667,7,False,126,True,-0.88
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PAPER_IF,care_common,53592,52323,1269,981,115,0.3507,,0.1252,0,False,39,False,1.73
Wind Farm A,45.csv,45,turb_45,anomaly_event,,CARE_PAPER_IF,care_common,53739,52299,1440,1008,501,1.0,,0.4966,337,True,25,False,2.83
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PAPER_IF,care_common,53772,52335,1437,1005,148,1.0,,0.0466,46,False,2,False,1.99
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PAPER_IF,care_native_semantic,54358,52063,2295,2014,166,0.1583,,0.0042,8,False,1377,True,-9.56
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53036,51888,1148,1005,218,0.5203,,0.2278,8,False,0,True,0.0
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PAPER_IF,care_native_semantic,54082,52065,2017,1009,196,0.3862,,0.0976,3,False,33,False,2.77
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PAPER_IF,care_native_semantic,54042,52313,1729,1009,360,0.4151,,0.2031,15,False,6,False,2.96
Wind Farm A,0.csv,0,turb_0,anomaly_event,,CARE_PAPER_IF,care_native_semantic,54986,52148,2838,2012,243,0.4072,,0.1251,0,False,910,True,-4.32
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53702,52261,1441,1009,150,0.4605,,0.1566,2,False,21,True,-0.15
Wind Farm A,40.csv,40,turb_40,anomaly_event,,CARE_PAPER_IF,care_native_semantic,56158,51219,4939,4508,297,0.2447,,0.075,0,False,54,False,0.62
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53886,52303,1583,1007,28,0.1252,,0.0317,0,False,1,True,-0.01
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53592,52323,1269,981,131,0.4355,,0.0969,0,False,319,True,-0.22
Wind Farm A,45.csv,45,turb_45,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53739,52299,1440,1008,235,1.0,,0.2318,55,False,210,False,1.54
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53772,52335,1437,1005,12,1.0,,0.0083,2,False,384,True,-0.67
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_COMPAT_IF,care_2d,54358,52063,2295,2014,258,0.272,,0.0346,40,False,69,True,-0.48
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_COMPAT_IF,care_2d,53036,51888,1148,1005,320,0.6535,,0.3534,19,False,0,True,0.0
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_COMPAT_IF,care_2d,54082,52065,2017,1009,159,0.369,,0.0761,7,False,35,False,2.76
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_COMPAT_IF,care_2d,54042,52313,1729,1009,192,0.2836,,0.0699,15,False,4,False,2.97
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_COMPAT_IF,care_2d,54986,52148,2838,2012,313,0.4235,,0.1415,4,False,162,False,0.88
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_COMPAT_IF,care_2d,53702,52261,1441,1009,86,0.2808,,0.0855,5,False,18,True,-0.12
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_COMPAT_IF,care_2d,56158,51219,4939,4508,328,0.2511,,0.0692,10,False,56,False,0.61
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_COMPAT_IF,care_2d,53886,52303,1583,1007,32,0.1077,,0.0285,2,False,189,True,-1.31
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_COMPAT_IF,care_2d,53592,52323,1269,981,106,0.3739,,0.0906,0,False,76,False,1.47
Wind Farm A,45.csv,45,turb_45,anomaly_event,,RAI_COMPAT_IF,care_2d,53739,52299,1440,1008,485,1.0,,0.5517,429,True,210,False,1.54
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_COMPAT_IF,care_2d,53772,52335,1437,1005,12,1.0,,0.0047,5,False,59,False,1.59
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_COMPAT_IF,care_common,54358,52063,2295,2014,264,0.3451,,0.0742,23,False,83,True,-0.58
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_COMPAT_IF,care_common,53036,51888,1148,1005,95,0.3106,,0.0855,2,False,11,True,-0.08
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_COMPAT_IF,care_common,54082,52065,2017,1009,236,0.4042,,0.1195,28,False,38,False,2.74
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_COMPAT_IF,care_common,54042,52313,1729,1009,185,0.398,,0.0339,26,False,57,False,2.6
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_COMPAT_IF,care_common,54986,52148,2838,2012,726,0.3051,,0.1217,279,True,37,False,1.74
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_COMPAT_IF,care_common,53702,52261,1441,1009,55,0.1822,,0.0392,2,False,35,True,-0.24
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_COMPAT_IF,care_common,56158,51219,4939,4508,1206,0.5442,,0.1636,174,True,56,False,0.61
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_COMPAT_IF,care_common,53886,52303,1583,1007,109,0.3355,,0.0719,8,False,79,True,-0.55
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_COMPAT_IF,care_common,53592,52323,1269,981,150,0.4114,,0.1485,0,False,39,False,1.73
Wind Farm A,45.csv,45,turb_45,anomaly_event,,RAI_COMPAT_IF,care_common,53739,52299,1440,1008,525,1.0,,0.5318,401,True,29,False,2.8
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_COMPAT_IF,care_common,53772,52335,1437,1005,112,1.0,,0.0315,42,False,2,False,1.99
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54358,52063,2295,2014,408,0.4395,,0.1424,68,False,0,True,0.0
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53036,51888,1148,1005,186,0.5135,,0.211,7,False,12,True,-0.08
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54082,52065,2017,1009,100,0.2211,,0.0444,24,False,327,False,0.73
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54042,52313,1729,1009,358,0.5144,,0.112,44,False,34,False,2.76
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54986,52148,2838,2012,1012,0.4603,,0.2498,261,True,37,False,1.74
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53702,52261,1441,1009,51,0.1858,,0.0481,4,False,29,True,-0.2
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,56158,51219,4939,4508,1759,0.7122,,0.1903,254,True,57,False,0.6
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53886,52303,1583,1007,120,0.3804,,0.1163,8,False,78,True,-0.54
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53592,52323,1269,981,107,0.3729,,0.1247,0,False,109,False,1.24
Wind Farm A,45.csv,45,turb_45,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53739,52299,1440,1008,410,1.0,,0.4169,285,True,21,False,2.85
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53772,52335,1437,1005,121,1.0,,0.0445,36,False,0,False,2.0
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_CHAMPION,care_2d,54358,52063,2295,2014,0,0.0,,0.0,0,False,,False,
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_CHAMPION,care_2d,53036,51888,1148,1005,0,0.0,,0.0,0,False,,False,
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_CHAMPION,care_2d,54082,52065,2017,1009,0,0.0,,0.0,0,False,,False,
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_CHAMPION,care_2d,54042,52313,1729,1009,0,0.0,,0.0,0,False,,False,
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_CHAMPION,care_2d,54986,52148,2838,2012,0,0.0,,0.0,0,False,,False,
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_CHAMPION,care_2d,53702,52261,1441,1009,0,0.0,,0.0,0,False,,False,
