farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,note
Wind Farm A,25.csv,25,turb_25,normal_behavior,,CARE_PAPER_IF,care_2d,54712,52289,2423,0,223,,0.8862,,2,False,32,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,69.csv,69,turb_69,normal_behavior,,CARE_PAPER_IF,care_2d,54813,52220,2593,0,152,,0.9261,,0,False,144,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,CARE_PAPER_IF,care_2d,54010,50427,3583,0,452,,0.8563,,0,False,199,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,CARE_PAPER_IF,care_2d,55003,52289,2714,0,70,,0.9683,,0,False,196,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,CARE_PAPER_IF,care_2d,55487,52185,3302,0,187,,0.9318,,1,False,150,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,CARE_PAPER_IF,care_2d,55090,52309,2781,0,184,,0.911,,0,False,133,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,CARE_PAPER_IF,care_2d,54835,52291,2544,0,172,,0.9189,,0,False,353,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,CARE_PAPER_IF,care_2d,54744,52295,2449,0,114,,0.9401,,0,False,541,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,CARE_PAPER_IF,care_2d,54197,52296,1901,0,254,,0.8415,,1,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,CARE_PAPER_IF,care_2d,54067,52293,1774,0,431,,0.7155,,0,False,294,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,CARE_PAPER_IF,care_2d,54436,52043,2393,0,165,,0.9175,,2,False,61,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,CARE_PAPER_IF,care_common,54712,52289,2423,0,194,,0.9253,,11,False,32,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,69.csv,69,turb_69,normal_behavior,,CARE_PAPER_IF,care_common,54813,52220,2593,0,98,,0.9791,,4,False,90,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,CARE_PAPER_IF,care_common,54010,50427,3583,0,387,,0.8795,,2,False,90,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,CARE_PAPER_IF,care_common,55003,52289,2714,0,79,,0.981,,13,False,103,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,CARE_PAPER_IF,care_common,55487,52185,3302,0,156,,0.9608,,39,False,150,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,CARE_PAPER_IF,care_common,55090,52309,2781,0,70,,0.9826,,10,False,133,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,CARE_PAPER_IF,care_common,54835,52291,2544,0,204,,0.9491,,6,False,287,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,CARE_PAPER_IF,care_common,54744,52295,2449,0,58,,0.9753,,6,False,493,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,CARE_PAPER_IF,care_common,54197,52296,1901,0,239,,0.8784,,12,False,9,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,CARE_PAPER_IF,care_common,54067,52293,1774,0,349,,0.7822,,3,False,223,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,CARE_PAPER_IF,care_common,54436,52043,2393,0,187,,0.9247,,27,False,61,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54712,52289,2423,0,304,,0.8435,,0,False,7,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,69.csv,69,turb_69,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54813,52220,2593,0,66,,0.9679,,0,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54010,50427,3583,0,463,,0.8528,,0,False,20,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55003,52289,2714,0,238,,0.8921,,0,False,8,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55487,52185,3302,0,293,,0.8926,,0,False,144,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55090,52309,2781,0,65,,0.9686,,0,False,1,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
