farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,failure_classification
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PAPER_IF,care_2d,54358,52063,2295,2014,273,0.321,,0.0886,39,False,66,True,-0.46,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PAPER_IF,care_2d,53036,51888,1148,1005,171,0.4885,,0.2001,5,False,4,True,-0.03,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PAPER_IF,care_2d,54082,52065,2017,1009,92,0.2485,,0.0386,2,False,106,False,2.26,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PAPER_IF,care_2d,54042,52313,1729,1009,91,0.16,,0.0325,2,False,40,False,2.72,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,0.csv,0,turb_0,anomaly_event,,CARE_PAPER_IF,care_2d,54986,52148,2838,2012,288,0.4046,,0.1491,0,False,1,False,1.99,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PAPER_IF,care_2d,53702,52261,1441,1009,77,0.1923,,0.0594,9,False,29,True,-0.2,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,40.csv,40,turb_40,anomaly_event,,CARE_PAPER_IF,care_2d,56158,51219,4939,4508,336,0.2979,,0.0537,7,False,58,False,0.6,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PAPER_IF,care_2d,53886,52303,1583,1007,91,0.1683,,0.0479,13,False,189,True,-1.31,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PAPER_IF,care_2d,53592,52323,1269,981,58,0.198,,0.0498,0,False,34,False,1.76,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PAPER_IF,care_2d,53772,52335,1437,1005,33,1.0,,0.0136,9,False,56,False,1.61,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PAPER_IF,care_common,54358,52063,2295,2014,193,0.2123,,0.0458,30,False,69,True,-0.48,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PAPER_IF,care_common,53036,51888,1148,1005,104,0.3561,,0.1288,1,False,4,True,-0.03,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PAPER_IF,care_common,54082,52065,2017,1009,99,0.2124,,0.0313,27,False,242,False,1.32,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PAPER_IF,care_common,54042,52313,1729,1009,189,0.3902,,0.0338,26,False,42,False,2.71,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PAPER_IF,care_common,53702,52261,1441,1009,55,0.2104,,0.0483,2,False,105,True,-0.73,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PAPER_IF,care_common,53886,52303,1583,1007,108,0.3157,,0.0667,7,False,126,True,-0.88,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PAPER_IF,care_common,53592,52323,1269,981,115,0.3507,,0.1252,0,False,39,False,1.73,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PAPER_IF,care_common,53772,52335,1437,1005,148,1.0,,0.0466,46,False,2,False,1.99,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PAPER_IF,care_native_semantic,54358,52063,2295,2014,166,0.1583,,0.0042,8,False,1377,True,-9.56,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PAPER_IF,care_native_semantic,53036,51888,1148,1005,218,0.5203,,0.2278,8,False,0,True,0.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PAPER_IF,care_native_semantic,54082,52065,2017,1009,196,0.3862,,0.0976,3,False,33,False,2.77,not detected under the official CARE event criterion (max criticality < 72)
