farm,ablation_condition,care_score,coverage_fbeta,accuracy,reliability_efbeta,earliness_ws,events_detected,total_events,detection_rate
Wind Farm A,ALL_SIGNALS_FULL_CHAMPION,0.5722,0.3083,0.9981,0.5263,0.0302,2,11,0.1818
Wind Farm A,MINUS_POWER_CURVE,0.6065,0.3501,0.9818,0.6522,0.0669,3,11,0.2727
Wind Farm A,MINUS_WIND_SPEED,0.5138,0.2291,0.9821,0.3333,0.0422,1,11,0.0909
Wind Farm A,MINUS_ROTOR_SPEED,0.0,0.1818,1.0,0.0,0.0,0,11,0.0
Wind Farm A,MINUS_PERSISTENCE,0.5728,0.3096,0.9982,0.5263,0.0319,2,11,0.1818
Wind Farm B,ALL_SIGNALS_FULL_CHAMPION,0.5417,0.0042,0.9993,0.6818,0.0238,3,6,0.5
Wind Farm B,MINUS_POWER_CURVE,0.5744,0.043,0.9765,0.8333,0.0429,5,6,0.8333
Wind Farm B,MINUS_WIND_SPEED,0.5401,0.0405,0.9768,0.6818,0.0246,3,6,0.5
Wind Farm B,MINUS_ROTOR_SPEED,0.0,0.0,1.0,0.0,0.0,0,6,0.0
Wind Farm B,MINUS_PERSISTENCE,0.5412,0.001,0.9996,0.6818,0.0241,3,6,0.5
Wind Farm C,ALL_SIGNALS_FULL_CHAMPION,0.5521,0.0293,0.9913,0.678,0.0708,8,27,0.2963
Wind Farm C,MINUS_POWER_CURVE,0.5561,0.0493,0.9561,0.7333,0.0859,11,27,0.4074
Wind Farm C,MINUS_WIND_SPEED,0.4451,0.0181,0.9641,0.2564,0.0227,2,27,0.0741
Wind Farm C,MINUS_ROTOR_SPEED,0.0,0.0,1.0,0.0,0.0,0,27,0.0
Wind Farm C,MINUS_PERSISTENCE,0.5434,0.0278,0.991,0.6364,0.071,7,27,0.2593
