farm,turbine_id,care_target_specific,care_cross_turbine,delta_care,delta_coverage,delta_accuracy,delta_reliability,delta_earliness,n_anomaly_events
Wind Farm A,CARE-WT-0,0.577,0.5782,0.0012,0.0052,-0.0003,0.0,0.0009,3
Wind Farm A,CARE-WT-10,0.6154,0.6201,0.0047,0.0199,0.0,0.0,0.0037,3
Wind Farm A,CARE-WT-11,0.3988,0.3998,0.001,0.0,0.0024,0.0,0.0,1
Wind Farm A,CARE-WT-13,0.7867,0.6056,-0.1811,0.0,0.0024,-0.8333,-0.0765,2
Wind Farm A,CARE-WT-21,0.3985,0.3955,-0.003,0.0,-0.0076,0.0,0.0,2
Wind Farm B,CARE-WT-11,0.3989,0.3997,0.0008,0.0,0.0019,0.0,0.0,1
Wind Farm B,CARE-WT-12,0.6098,0.6078,-0.002,-0.0025,0.0,0.0,-0.0074,1
Wind Farm B,CARE-WT-13,0.6071,0.4056,-0.2015,0.0,0.0,-1.0,-0.0073,1
Wind Farm B,CARE-WT-14,0.4005,0.4033,0.0028,0.0033,0.0,0.0,0.011,1
Wind Farm B,CARE-WT-6,0.6169,0.6145,-0.0024,-0.0119,0.0,0.0,0.0,1
Wind Farm B,CARE-WT-7,0.6028,0.6023,-0.0005,-0.0018,0.0004,0.0,-0.0012,1
Wind Farm C,CARE-WT-12,0.4071,0.5829,0.1758,0.0,0.0,0.8333,0.0459,2
Wind Farm C,CARE-WT-15,0.3998,0.3998,0.0,0.0,0.0,0.0,0.0,1
Wind Farm C,CARE-WT-16,0.7009,0.6019,-0.099,-0.0105,-0.0081,-0.1667,-0.3015,2
Wind Farm C,CARE-WT-2,0.4048,0.4003,-0.0045,-0.0017,0.0112,0.0,-0.0434,1
Wind Farm C,CARE-WT-21,0.4016,0.4,-0.0016,0.0,0.0,0.0,-0.0081,1
Wind Farm C,CARE-WT-23,0.6012,0.396,-0.2052,0.0,-0.008,-1.0,-0.0099,1
Wind Farm C,CARE-WT-32,0.6402,0.6456,0.0054,0.0,0.0,0.0,0.0268,1
Wind Farm C,CARE-WT-33,0.3959,0.3959,0.0,0.0,0.0,0.0,0.0,1
Wind Farm C,CARE-WT-34,0.5434,0.5678,0.0244,0.0045,0.0,0.119,-0.0015,2
Wind Farm C,CARE-WT-35,0.6205,0.5851,-0.0354,0.0236,0.0,0.0,-0.2007,2
Wind Farm C,CARE-WT-38,0.5646,0.5946,0.03,0.6357,0.0,-0.5556,0.0698,1
Wind Farm C,CARE-WT-42,0.6046,0.4022,-0.2024,0.004,0.0004,-1.0,-0.0172,1
Wind Farm C,CARE-WT-43,0.6399,0.4108,-0.2291,-0.0804,0.0,-1.0,-0.0651,2
Wind Farm C,CARE-WT-44,0.5174,0.4002,-0.1172,-0.0017,0.0,-0.5556,-0.0285,1
Wind Farm C,CARE-WT-50,0.4128,0.4114,-0.0014,0.0,0.0005,0.0,-0.0079,1
Wind Farm C,CARE-WT-52,0.0,0.572,0.572,0.0011,-0.0304,0.8333,0.0867,2
Wind Farm C,CARE-WT-53,0.6001,0.6011,0.001,0.0,-0.0006,0.0,0.006,3
Wind Farm C,CARE-WT-55,0.3998,0.4,0.0002,0.0,0.001,0.0,-0.0012,1
Wind Farm C,CARE-WT-56,0.6231,0.4008,-0.2223,0.0,0.0,-1.0,-0.1114,1
