farm,turbine_id,condition,status,care_score,coverage_fbeta,accuracy,reliability_efbeta,earliness_ws,n_datasets,n_anomaly,n_normal,n_detected,n_missed
Wind Farm A,CARE-WT-0,CONDITION_A_TARGET_SPECIFIC,VALID,0.577,0.1589,0.9998,0.7143,0.0124,5,3,2,1,2
Wind Farm A,CARE-WT-0,CONDITION_B_CROSS_TURBINE,VALID,0.5782,0.1641,0.9995,0.7143,0.0133,5,3,2,1,2
Wind Farm A,CARE-WT-0,CONDITION_C_FROZEN_CHAMPION,VALID,0.5777,0.1625,0.9995,0.7143,0.0127,5,3,2,1,2
Wind Farm A,CARE-WT-10,CONDITION_A_TARGET_SPECIFIC,VALID,0.6154,0.2903,0.9993,0.7143,0.0736,5,3,2,1,2
Wind Farm A,CARE-WT-10,CONDITION_B_CROSS_TURBINE,VALID,0.6201,0.3102,0.9993,0.7143,0.0773,5,3,2,1,2
Wind Farm A,CARE-WT-10,CONDITION_C_FROZEN_CHAMPION,VALID,0.618,0.3011,0.9993,0.7143,0.0758,5,3,2,1,2
Wind Farm A,CARE-WT-11,CONDITION_A_TARGET_SPECIFIC,VALID,0.3988,0.0,0.9971,0.0,0.0,4,1,3,0,1
Wind Farm A,CARE-WT-11,CONDITION_B_CROSS_TURBINE,VALID,0.3998,0.0,0.9995,0.0,0.0,4,1,3,0,1
Wind Farm A,CARE-WT-11,CONDITION_C_FROZEN_CHAMPION,VALID,0.3998,0.0,0.9995,0.0,0.0,4,1,3,0,1
Wind Farm A,CARE-WT-13,CONDITION_A_TARGET_SPECIFIC,VALID,0.7867,1.0,0.9974,0.8333,0.1052,4,2,2,1,1
Wind Farm A,CARE-WT-13,CONDITION_B_CROSS_TURBINE,VALID,0.6056,1.0,0.9998,0.0,0.0287,4,2,2,0,2
Wind Farm A,CARE-WT-13,CONDITION_C_FROZEN_CHAMPION,VALID,0.6066,1.0,0.9998,0.0,0.0332,4,2,2,0,2
Wind Farm A,CARE-WT-21,CONDITION_A_TARGET_SPECIFIC,VALID,0.3985,0.0,0.9963,0.0,0.0,4,2,2,0,2
Wind Farm A,CARE-WT-21,CONDITION_B_CROSS_TURBINE,VALID,0.3955,0.0,0.9887,0.0,0.0,4,2,2,0,2
Wind Farm A,CARE-WT-21,CONDITION_C_FROZEN_CHAMPION,VALID,0.3968,0.0,0.9919,0.0,0.0,4,2,2,0,2
