status,n_turbines,n_resamples,care_mean,care_std,care_ci_lower_95,care_ci_upper_95,detection_rate_mean,detection_rate_ci_lower_95,detection_rate_ci_upper_95,source_farm,target_farm,condition
VALID,9,2000,0.567,0.0364,0.4834,0.6215,0.6663,0.25,1.0,Wind Farm A,Wind Farm B,FROZEN_SOURCE
VALID,9,2000,0.5615,0.0346,0.4823,0.612,0.6663,0.25,1.0,Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED
VALID,9,2000,0.5368,0.0409,0.4477,0.5979,0.5052,0.125,0.875,Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE
VALID,22,2000,0.5912,0.021,0.5478,0.6286,0.7384,0.5769,0.8846,Wind Farm A,Wind Farm C,FROZEN_SOURCE
VALID,22,2000,0.5922,0.0167,0.5531,0.6198,0.6235,0.4286,0.7931,Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED
VALID,22,2000,0.5482,0.0199,0.4997,0.5793,0.2904,0.1364,0.4286,Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE
VALID,5,2000,0.5817,0.0393,0.5106,0.652,0.3583,0.1,0.7,Wind Farm B,Wind Farm A,FROZEN_SOURCE
VALID,5,2000,0.5701,0.0449,0.4542,0.6344,0.1724,0.0,0.3077,Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED
VALID,5,2000,0.5619,0.0429,0.4505,0.6263,0.1724,0.0,0.3077,Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE
VALID,22,2000,0.5958,0.0215,0.5509,0.6339,0.6246,0.44,0.7826,Wind Farm B,Wind Farm C,FROZEN_SOURCE
VALID,22,2000,0.5922,0.0167,0.5531,0.6198,0.6235,0.4286,0.7931,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
VALID,22,2000,0.5482,0.0199,0.4997,0.5793,0.2904,0.1364,0.4286,Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE
VALID,5,2000,0.4334,0.0602,0.4003,0.5203,0.0,0.0,0.0,Wind Farm C,Wind Farm A,FROZEN_SOURCE
VALID,5,2000,0.5701,0.0449,0.4542,0.6344,0.1724,0.0,0.3077,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
VALID,5,2000,0.5619,0.0429,0.4505,0.6263,0.1724,0.0,0.3077,Wind Farm C,Wind Farm A,TARGET_SPECIFIC_REFERENCE
VALID,9,2000,0.5303,0.0527,0.3997,0.5932,0.3375,0.0,0.75,Wind Farm C,Wind Farm B,FROZEN_SOURCE
VALID,9,2000,0.5615,0.0346,0.4823,0.612,0.6663,0.25,1.0,Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
VALID,9,2000,0.5368,0.0409,0.4477,0.5979,0.5052,0.125,0.875,Wind Farm C,Wind Farm B,TARGET_SPECIFIC_REFERENCE
