source_farm,target_farm,condition,n_total_datasets,n_anomaly_datasets,n_normal_datasets,n_turbines,coverage_fbeta,accuracy,reliability_efbeta,earliness_ws,care_score,n_events_detected,n_events_missed,event_detection_rate,normal_datasets_with_alarms,dataset_alarm_incidence,median_lead_time_steps
Wind Farm A,Wind Farm B,FROZEN_SOURCE,15,6,9,9,0.0612,0.9884,0.7692,0.0452,0.5705,4,2,0.6667,9,1.0,5156.5
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,15,6,9,9,0.024,0.9958,0.7692,0.04,0.565,4,2,0.6667,8,0.8889,5157.0
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,15,6,9,9,0.0042,0.9993,0.6818,0.0238,0.5417,3,3,0.5,7,0.7778,5156.5
Wind Farm A,Wind Farm C,FROZEN_SOURCE,58,27,31,22,0.0296,0.9563,0.813,0.2082,0.5927,20,7,0.7407,30,0.9677,1105.0
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,58,27,31,22,0.0343,0.9902,0.7944,0.1606,0.594,17,10,0.6296,22,0.7097,732.0
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,58,27,31,22,0.0293,0.9913,0.678,0.0708,0.5521,8,19,0.2963,15,0.4839,1282.5
Wind Farm B,Wind Farm A,FROZEN_SOURCE,22,11,11,5,0.6969,0.5965,0.7407,0.3226,0.5906,4,7,0.3636,11,1.0,727.0
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,22,11,11,5,0.3406,0.9963,0.5263,0.0432,0.5806,2,9,0.1818,11,1.0,503.5
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,22,11,11,5,0.3083,0.9981,0.5263,0.0302,0.5722,2,9,0.1818,9,0.8182,490.0
Wind Farm B,Wind Farm C,FROZEN_SOURCE,58,27,31,22,0.1107,0.9471,0.7944,0.1892,0.5977,17,10,0.6296,31,1.0,2038.0
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,58,27,31,22,0.0343,0.9902,0.7944,0.1606,0.594,17,10,0.6296,22,0.7097,732.0
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,58,27,31,22,0.0293,0.9913,0.678,0.0708,0.5521,8,19,0.2963,15,0.4839,1282.5
Wind Farm C,Wind Farm A,FROZEN_SOURCE,22,11,11,5,0.1948,1.0,0.0,0.0009,0.4392,0,11,0.0,1,0.0909,595.0
Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED,22,11,11,5,0.3406,0.9963,0.5263,0.0432,0.5806,2,9,0.1818,11,1.0,503.5
Wind Farm C,Wind Farm A,TARGET_SPECIFIC_REFERENCE,22,11,11,5,0.3083,0.9981,0.5263,0.0302,0.5722,2,9,0.1818,9,0.8182,490.0
Wind Farm C,Wind Farm B,FROZEN_SOURCE,15,6,9,9,0.0031,0.9994,0.7143,0.0101,0.5452,2,4,0.3333,3,0.3333,6054.5
Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED,15,6,9,9,0.024,0.9958,0.7692,0.04,0.565,4,2,0.6667,8,0.8889,5157.0
Wind Farm C,Wind Farm B,TARGET_SPECIFIC_REFERENCE,15,6,9,9,0.0042,0.9993,0.6818,0.0238,0.5417,3,3,0.5,7,0.7778,5156.5
