source_farm,target_farm,condition,dataset_file,turbine_id,max_criticality,alarm_count,exceeded_event_criticality
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,13.csv,CARE-WT-21,4,1231,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,14.csv,CARE-WT-13,7,762,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,17.csv,CARE-WT-10,5,1061,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,24.csv,CARE-WT-0,5,1046,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,25.csv,CARE-WT-11,8,596,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,3.csv,CARE-WT-10,11,1341,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,38.csv,CARE-WT-13,4,914,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,51.csv,CARE-WT-21,60,1028,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,69.csv,CARE-WT-11,7,887,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,71.csv,CARE-WT-0,7,997,False
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,92.csv,CARE-WT-11,3,366,False
Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT,25.csv,CARE-WT-11,2,2,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,2.csv,CARE-WT-13,25,30,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,21.csv,CARE-WT-0,19,37,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,23.csv,CARE-WT-6,48,87,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,52.csv,CARE-WT-14,1,17,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,74.csv,CARE-WT-11,42,174,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,82.csv,CARE-WT-5,39,113,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,83.csv,CARE-WT-2,655,1002,True
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,86.csv,CARE-WT-12,46,68,False
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,87.csv,CARE-WT-7,61,85,False
Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT,74.csv,CARE-WT-11,7,31,False
Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT,83.csv,CARE-WT-2,31,108,False
Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT,87.csv,CARE-WT-7,17,17,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,1.csv,CARE-WT-53,9,19,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,20.csv,CARE-WT-53,67,76,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,29.csv,CARE-WT-13,2,26,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,32.csv,CARE-WT-42,2,4,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,36.csv,CARE-WT-2,2,145,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,37.csv,CARE-WT-23,0,49,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,41.csv,CARE-WT-33,7,99,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,43.csv,CARE-WT-52,3,5,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,46.csv,CARE-WT-16,1,2,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,48.csv,CARE-WT-35,8,10,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,50.csv,CARE-WT-12,47,3457,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,54.csv,CARE-WT-52,3,177,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,56.csv,CARE-WT-34,64,87,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,57.csv,CARE-WT-55,10,19,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,58.csv,CARE-WT-35,4,6,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,59.csv,CARE-WT-32,1,17,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,6.csv,CARE-WT-38,129,135,True
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,60.csv,CARE-WT-53,14,158,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,61.csv,CARE-WT-43,70,120,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,63.csv,CARE-WT-56,7,9,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,64.csv,CARE-WT-15,9,26,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,65.csv,CARE-WT-16,2,32,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,75.csv,CARE-WT-44,91,96,True
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,8.csv,CARE-WT-50,3,5,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,80.csv,CARE-WT-23,2,14,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,85.csv,CARE-WT-14,4,112,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,88.csv,CARE-WT-55,249,297,True
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,89.csv,CARE-WT-5,6,54,False
