source_farm,target_farm,condition,n_turbines,mean_delta,median_delta,std_delta,ci_95_lower,ci_95_upper
Wind Farm A,Wind Farm B,STRICT_ZERO_SHOT,6,0.0451,0.0111,0.0859,0.0034,0.1172
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,6,-0.0001,-0.0001,0.0002,-0.0002,0.0
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,19,0.061,0.0585,0.1808,-0.0245,0.1286
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,19,-0.0185,-0.0001,0.0525,-0.045,-0.0007
Wind Farm B,Wind Farm A,STRICT_ZERO_SHOT,5,0.0105,0.0123,0.0568,-0.0327,0.0574
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,5,0.0,0.0,0.001,-0.0006,0.0009
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,19,0.0551,0.0548,0.1794,-0.0269,0.1233
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,19,-0.0185,-0.0001,0.0525,-0.045,-0.0007
Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT,5,-0.2777,-0.2171,0.232,-0.4807,-0.1107
Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED,5,0.0,0.0,0.001,-0.0006,0.0009
Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT,6,-0.0365,-0.002,0.0836,-0.1051,-0.0013
Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED,6,-0.0001,-0.0001,0.0002,-0.0002,0.0
