canonical_name,category,standard_unit,description,physical_min,physical_max,nighttime_zero_expected,is_context_variable
irradiance,IRRADIANCE,W/m^2,Generic total solar irradiance (horizontal or tilted).,0.0,1500.0,True,True
plane_of_array_irradiance,IRRADIANCE,W/m^2,Plane of array (POA) tilted irradiance incident on module surface.,0.0,1500.0,True,True
GHI,IRRADIANCE,W/m^2,Global Horizontal Irradiance.,0.0,1500.0,True,True
DNI,IRRADIANCE,W/m^2,Direct Normal Irradiance from the solar disc.,0.0,1200.0,True,True
DHI,IRRADIANCE,W/m^2,Diffuse Horizontal Irradiance from the sky dome.,0.0,800.0,True,True
ambient_temperature,TEMPERATURE,degC,Ambient dry-bulb air temperature at the array.,-40.0,60.0,False,True
module_temperature,TEMPERATURE,degC,Back-of-module surface temperature measured by RTD/thermocouple.,-40.0,95.0,False,True
cell_temperature,TEMPERATURE,degC,Photovoltaic semiconductor junction cell operating temperature.,-40.0,105.0,False,True
wind_speed,METEOROLOGY,m/s,Horizontal wind speed at array height (cooling effect regressor).,0.0,50.0,False,True
DC_power,ELECTRICAL_DC,kW,Total DC power generated by the array or inverter DC input.,0.0,100000.0,True,False
DC_voltage,ELECTRICAL_DC,V,Array or inverter DC bus voltage (MPPT tracking operating voltage).,0.0,1500.0,False,False
DC_current,ELECTRICAL_DC,A,Array or inverter total DC input current.,0.0,5000.0,True,False
string_current,ELECTRICAL_DC,A,Current flowing through an individual PV string.,0.0,35.0,True,False
string_voltage,ELECTRICAL_DC,V,Voltage across an individual PV string.,0.0,1500.0,False,False
AC_power,ELECTRICAL_AC,kW,Active AC electrical power delivered to the collector or grid.,0.0,100000.0,True,False
AC_voltage,ELECTRICAL_AC,V,Inverter AC grid terminal voltage.,0.0,1000.0,False,False
AC_current,ELECTRICAL_AC,A,Inverter AC line current delivered to grid.,0.0,5000.0,True,False
inverter_output,ELECTRICAL_AC,kW,Inverter gross real power generation.,0.0,100000.0,True,False
tracker_angle,EQUIPMENT_STATUS,deg,Single-axis or dual-axis solar tracker tilt/azimuth rotation angle.,-90.0,90.0,False,True
tracker_status,EQUIPMENT_STATUS,status_code,"Operating mode of the solar tracking controller (tracking, stowed, faulted).",0.0,255.0,False,False
grid_status,EQUIPMENT_STATUS,status_code,Status code of the grid connection and interconnection breaker.,0.0,255.0,False,False
curtailment,EQUIPMENT_STATUS,ratio,Grid operator or plant master controller active power curtailment command.,0.0,1.0,False,True
energy_yield,PERFORMANCE_METRIC,kWh,Cumulative or interval energy generation delivered to grid.,0.0,1000000000.0,False,False
availability,PERFORMANCE_METRIC,ratio,Operational technical availability fraction (0.0 to 1.0).,0.0,1.0,False,False
soiling_indicator,HEALTH_INDICATOR,ratio,"Soiling ratio (actual generation vs clean reference, typically 0.7 to 1.0).",0.0,1.0,False,False
degradation_indicator,HEALTH_INDICATOR,pct_per_year,"Annual irreversible power degradation rate (%/yr, typically -0.5% to -1.5%/yr).",-10.0,2.0,False,False
