system_id,signal,metric_id,native_interval_minutes,median_interval_minutes,mode_interval_minutes,n_records,expected_records_at_15min,missingness_fraction
1239,poa,3018,15.0,15.0,15.0,8585,8640,0.0064
1239,ac_power,3015,15.0,15.0,15.0,8645,8640,-0.0006
1239,dc_power,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,8640,NOT_AVAILABLE
1239,ambient_temp,3016,15.0,15.0,15.0,8663,8640,-0.0027
1239,module_temp,3019,15.0,15.0,15.0,8663,8640,-0.0027
1239,wind_speed,3020,15.0,15.0,15.0,8663,8640,-0.0027
1283,poa,1055,0.25,0.25,0.25,504384,518400,0.027
1283,ac_power,1040,0.25,0.25,0.25,504384,518400,0.027
1283,dc_power,1134,0.25,0.25,0.25,504384,518400,0.027
1283,ambient_temp,1053,0.25,0.25,0.25,504384,518400,0.027
1283,module_temp,1056,0.25,0.25,0.25,504384,518400,0.027
1283,wind_speed,1051,0.25,0.25,0.25,504384,518400,0.027
34,poa,2679,15.0,15.0,15.0,8409,8640,0.0267
34,ac_power,2695,15.0,15.0,15.0,8640,8640,0.0
34,dc_power,2694,15.0,15.0,15.0,8640,8640,0.0
34,ambient_temp,2688,15.0,15.0,15.0,6027,8640,0.3024
34,module_temp,2689,15.0,15.0,15.0,8638,8640,0.0002
34,wind_speed,2691,15.0,15.0,15.0,8641,8640,-0.0001
1430,poa,5041,15.0,15.0,15.0,8634,8640,0.0007
1430,ac_power,5074,15.0,15.0,15.0,8329,8640,0.036
1430,dc_power,5077,15.0,15.0,15.0,8634,8640,0.0007
1430,ambient_temp,5042,15.0,15.0,15.0,8634,8640,0.0007
1430,module_temp,5043,15.0,15.0,15.0,8634,8640,0.0007
1430,wind_speed,5044,,,,0,,
1433,poa,5061,15.0,15.0,15.0,7837,8640,0.0929
1433,ac_power,5069,15.0,15.0,15.0,2186,8640,0.747
1433,dc_power,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,8640,NOT_AVAILABLE
1433,ambient_temp,5062,15.0,15.0,15.0,7837,8640,0.0929
1433,module_temp,5063,15.0,15.0,15.0,7837,8640,0.0929
1433,wind_speed,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,8640,NOT_AVAILABLE
