system_id,signal,metric_id,raw_units,units,calc_scale,raw_value_min,raw_value_max,decision,evidence
1239,poa,3018,W/m^2,W/m^2,1.0,0.0,1315.878,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1239,ac_power,3015,kW,W,1000.0,-520.0,23620.0,ALREADY_SCALED_NO_REAPPLY,"NO REAPPLY: raw value is already final W. Reapplying calc_scale=1000.0 would give a 23.6 MW max against a 20.16 kW nameplate (impossible); as-is, max=23.6kW is plausible."
1239,ambient_temp,3016,C,C,0.5555556,2.108890457600001,37.985004438800004,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1239,module_temp,3019,C,C,0.5555556,-0.5277764199999986,48.48333861200001,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1239,wind_speed,3020,m/s,m/s,0.44704,0.0,0.078232,DEGENERATE_CHANNEL_NOT_USABLE,"Raw value range is 0.000-0.078 (mean 0.002, std 0.006) across the entire real 90-day window -- a flatlined/dead sensor, not real wind data (compare to system 34's wind_speed, a healthy 0.00-4.84 m/s range). pvlib's sapm_cell/sapm_module temperature models take wind_speed as a REQUIRED positional argument with no default (confirmed via inspect.signature against the installed pvlib package) -- feeding this degenerate channel in as real wind would silently bias the module-temperature estimate toward zero-convection (systematically too hot). faiman/pvsyst_cell instead default wind_speed=1.0 m/s when not supplied -- a disclosed standard assumption, NOT real data, must be used for this system if a temperature model requiring wind is needed."
1283,poa,1055,W/m^2,W/m^2,1.0,0.0,1427.611,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1283,ac_power,1040,kW,W,1000.0,-900.0,498700.0,ALREADY_SCALED_NO_REAPPLY,"NO REAPPLY: raw value is already final W. Reapplying calc_scale=1000.0 would give a 498.7 MW max against a 408.24 kW nameplate (impossible); as-is, max=498.7kW matches the site's 2x250kW inverter nameplate almost exactly (see system_1283_power_semantics.md)."
1283,dc_power,1134,W,W,1.0,0.0,0.0,DEGENERATE_CHANNEL_NOT_USABLE,"Raw value is EXACTLY 0.0 for all 504,384 real records (min=max=mean=std=0.0) -- metric_id 1134 ('inv1_dc_power') is a dead/non-reporting channel in this acquisition window, not a real DC power measurement. Does not affect this system's DEVELOPMENT role (DC power was never required for empirical-readiness or the pvlib physics-readiness gate here), but must not be presented to Gate 5.6C as usable DC telemetry."
1283,ambient_temp,1053,C,C,1.0,5.731636,40.65527,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1283,module_temp,1056,C,C,1.0,-0.5416977,84.83183,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1283,wind_speed,1051,m/s,m/s,1.0,3.335599,20.17455,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
34,poa,2679,W/m^2,W/m^2,1.0,0.098,1268.4569999999999,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
34,ac_power,2695,W,W,100.0,-1100.0,115800.0,ALREADY_SCALED_NO_REAPPLY,"NO REAPPLY: raw value is already final W. Reapplying calc_scale=100.0 would give an 11.58 MW max against a 146.64 kW nameplate (impossible); as-is, max=115.8kW is plausible and AC/DC ratio at peak generation is 0.947 (sane inverter efficiency, scale-invariant check since both AC and DC channels share the same calc_scale=100.0)."
34,dc_power,2694,W,W,100.0,-200.0,122300.0,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
34,ambient_temp,2688,C,C,0.5555556,-40.0000018,47.800560779600005,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
34,module_temp,2689,C,C,0.5555556,7.488890888,65.66111776400001,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
