system_id,model_name,total_days,actual_energy_kwh,expected_energy_kwh,mean_daily_actual_kwh,mean_daily_expected_kwh,mean_daily_abs_error_pct,energy_r2
SYS_10,PVLIB_PHYSICS_REFERENCE,18,9759.0,9758.7,542.17,542.15,0.1,1.0
SYS_10,SOLAR_EMPIRICAL_BASELINE,18,9759.0,9650.2,542.17,536.12,1.3,0.9951
SYS_10,RAI_SOLAR_CHAMPION,18,9759.0,9747.9,542.17,541.55,0.18,0.9999
SYS_34,PVLIB_PHYSICS_REFERENCE,18,390.2,390.2,21.68,21.68,0.11,1.0
SYS_34,SOLAR_EMPIRICAL_BASELINE,18,390.2,382.8,21.68,21.27,1.9,0.9891
SYS_34,RAI_SOLAR_CHAMPION,18,390.2,389.6,21.68,21.64,0.21,0.9998
SYS_4,PVLIB_PHYSICS_REFERENCE,18,850.8,851.4,47.27,47.3,0.2,0.9999
SYS_4,SOLAR_EMPIRICAL_BASELINE,18,850.8,839.0,47.27,46.61,1.47,0.9954
SYS_4,RAI_SOLAR_CHAMPION,18,850.8,850.1,47.27,47.23,0.24,0.9999
SYS_1199,PVLIB_PHYSICS_REFERENCE,18,12281.8,12277.0,682.32,682.06,0.12,1.0
SYS_1199,SOLAR_EMPIRICAL_BASELINE,18,12281.8,12152.2,682.32,675.12,1.37,0.9941
SYS_1199,RAI_SOLAR_CHAMPION,18,12281.8,12264.5,682.32,681.36,0.18,0.9999
SYS_1283,PVLIB_PHYSICS_REFERENCE,18,779.3,779.2,43.29,43.29,0.15,0.9999
SYS_1283,SOLAR_EMPIRICAL_BASELINE,18,779.3,765.9,43.29,42.55,1.69,0.9923
SYS_1283,RAI_SOLAR_CHAMPION,18,779.3,777.9,43.29,43.21,0.21,0.9999
