system_id,split,model,n_valid_daytime_records,r2,rmse_kw,nrmse_pct_of_rated,mae_kw,note
1239,train,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,3001,0.9741,0.8863,4.3961,0.656,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,train,SOLAR_EMPIRICAL_BASELINE,3001,0.9928,0.4654,2.3084,0.3165,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,train,RAI_SOLAR_CHAMPION_HYBRID,3001,0.9926,0.4724,2.3432,0.3235,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,val,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,968,0.9765,0.8233,4.0838,0.6352,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,val,SOLAR_EMPIRICAL_BASELINE,968,0.9922,0.4731,2.3469,0.3198,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,val,RAI_SOLAR_CHAMPION_HYBRID,968,0.9923,0.4703,2.3331,0.3144,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,test,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,900,0.9768,0.7694,3.8163,0.5745,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,test,SOLAR_EMPIRICAL_BASELINE,900,0.9852,0.6135,3.0429,0.4517,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1239,test,RAI_SOLAR_CHAMPION_HYBRID,900,0.9858,0.6015,2.9836,0.44,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,train,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,167232,0.9776,17.2542,4.2265,12.5844,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,train,SOLAR_EMPIRICAL_BASELINE,167232,0.9882,12.5164,3.0659,9.1159,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,train,RAI_SOLAR_CHAMPION_HYBRID,167232,0.9882,12.5032,3.0627,8.9865,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,val,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,53929,0.9752,17.746,4.347,13.2389,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,val,SOLAR_EMPIRICAL_BASELINE,53929,0.9875,12.6024,3.087,9.1926,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,val,RAI_SOLAR_CHAMPION_HYBRID,53929,0.9873,12.7065,3.1125,9.1705,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,test,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,51992,0.9695,19.4917,4.7746,14.7084,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,test,SOLAR_EMPIRICAL_BASELINE,51992,0.9827,14.6658,3.5924,10.9866,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
1283,test,RAI_SOLAR_CHAMPION_HYBRID,51992,0.9824,14.804,3.6263,11.0401,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,train,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,2512,0.8069,14.0638,9.5907,12.2093,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,train,SOLAR_EMPIRICAL_BASELINE,2512,0.9426,7.6649,5.227,4.3543,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,train,RAI_SOLAR_CHAMPION_HYBRID,2512,0.9322,8.3349,5.6839,5.0912,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,val,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,860,0.7819,14.8794,10.1469,12.408,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,val,SOLAR_EMPIRICAL_BASELINE,860,0.9098,9.5673,6.5243,5.0346,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,val,RAI_SOLAR_CHAMPION_HYBRID,860,0.9018,9.9875,6.8109,5.8081,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,test,PVLIB_MODELCHAIN_PHYSICS_REFERENCE,782,0.7001,14.9926,10.2241,14.356,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,test,SOLAR_EMPIRICAL_BASELINE,782,0.9743,4.3885,2.9927,2.8543,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
34,test,RAI_SOLAR_CHAMPION_HYBRID,782,0.9461,6.3557,4.3342,5.2372,MODEL_DEVELOPMENT / NOT_INDEPENDENTLY_VALIDATED -- internal self-consistency diagnostic only
