system_id,model_name,split,sample_count,r2,rmse_kw,mae_kw,nrmse_pct,mean_residual_kw,residual_std_kw
SYS_10,PVLIB_PHYSICS_REFERENCE,TRAIN,2894,0.9982,1.042,0.442,1.16,-0.055,1.041
SYS_10,SOLAR_EMPIRICAL_BASELINE,TRAIN,2894,0.9976,1.207,0.675,1.34,-0.073,1.205
SYS_10,RAI_SOLAR_CHAMPION,TRAIN,2894,0.9982,1.044,0.446,1.16,-0.057,1.042
SYS_10,PVLIB_PHYSICS_REFERENCE,VAL,927,0.9996,0.477,0.378,0.53,-0.028,0.476
SYS_10,SOLAR_EMPIRICAL_BASELINE,VAL,927,0.9988,0.859,0.662,0.95,0.295,0.807
SYS_10,RAI_SOLAR_CHAMPION,VAL,927,0.9996,0.479,0.38,0.53,0.004,0.479
SYS_10,PVLIB_PHYSICS_REFERENCE,TEST,887,0.9996,0.487,0.39,0.54,0.001,0.487
SYS_10,SOLAR_EMPIRICAL_BASELINE,TEST,887,0.9983,1.013,0.783,1.13,0.491,0.887
SYS_10,RAI_SOLAR_CHAMPION,TEST,887,0.9996,0.497,0.395,0.55,0.05,0.494
SYS_34,PVLIB_PHYSICS_REFERENCE,TRAIN,2893,0.9988,0.035,0.018,0.87,-0.001,0.035
SYS_34,SOLAR_EMPIRICAL_BASELINE,TRAIN,2893,0.998,0.043,0.028,1.09,-0.002,0.043
SYS_34,RAI_SOLAR_CHAMPION,TRAIN,2893,0.9987,0.035,0.018,0.87,-0.001,0.035
SYS_34,PVLIB_PHYSICS_REFERENCE,VAL,924,0.9996,0.02,0.016,0.51,-0.001,0.02
SYS_34,SOLAR_EMPIRICAL_BASELINE,VAL,924,0.9984,0.042,0.032,1.04,0.018,0.038
SYS_34,RAI_SOLAR_CHAMPION,VAL,924,0.9996,0.021,0.016,0.51,0.0,0.021
SYS_34,PVLIB_PHYSICS_REFERENCE,TEST,874,0.9996,0.021,0.016,0.52,0.0,0.021
SYS_34,SOLAR_EMPIRICAL_BASELINE,TEST,874,0.9972,0.054,0.042,1.35,0.034,0.042
SYS_34,RAI_SOLAR_CHAMPION,TEST,874,0.9996,0.022,0.017,0.54,0.003,0.021
SYS_4,PVLIB_PHYSICS_REFERENCE,TRAIN,2875,0.999,0.075,0.042,0.81,-0.005,0.075
SYS_4,SOLAR_EMPIRICAL_BASELINE,TRAIN,2875,0.9983,0.098,0.065,1.06,-0.004,0.098
SYS_4,RAI_SOLAR_CHAMPION,TRAIN,2875,0.999,0.075,0.043,0.82,-0.005,0.075
SYS_4,PVLIB_PHYSICS_REFERENCE,VAL,918,0.9996,0.048,0.039,0.52,-0.002,0.048
SYS_4,SOLAR_EMPIRICAL_BASELINE,VAL,918,0.9986,0.088,0.069,0.96,0.034,0.081
SYS_4,RAI_SOLAR_CHAMPION,VAL,918,0.9996,0.048,0.039,0.53,0.002,0.048
SYS_4,PVLIB_PHYSICS_REFERENCE,TEST,868,0.9996,0.048,0.038,0.52,-0.003,0.048
SYS_4,SOLAR_EMPIRICAL_BASELINE,TEST,868,0.9977,0.111,0.086,1.21,0.054,0.097
SYS_4,RAI_SOLAR_CHAMPION,TEST,868,0.9995,0.049,0.04,0.54,0.003,0.049
SYS_1199,PVLIB_PHYSICS_REFERENCE,TRAIN,2877,0.9919,2.919,0.821,2.16,-0.266,2.907
SYS_1199,SOLAR_EMPIRICAL_BASELINE,TRAIN,2877,0.9913,3.024,1.173,2.24,-0.258,3.013
SYS_1199,RAI_SOLAR_CHAMPION,TRAIN,2877,0.9919,2.916,0.825,2.16,-0.265,2.904
SYS_1199,PVLIB_PHYSICS_REFERENCE,VAL,920,0.9995,0.692,0.553,0.51,0.019,0.692
SYS_1199,SOLAR_EMPIRICAL_BASELINE,VAL,920,0.9985,1.209,0.962,0.9,0.258,1.181
SYS_1199,RAI_SOLAR_CHAMPION,VAL,920,0.9995,0.696,0.553,0.52,0.043,0.695
SYS_1199,PVLIB_PHYSICS_REFERENCE,TEST,882,0.9994,0.725,0.57,0.54,0.022,0.725
SYS_1199,SOLAR_EMPIRICAL_BASELINE,TEST,882,0.998,1.363,1.094,1.01,0.588,1.229
SYS_1199,RAI_SOLAR_CHAMPION,TEST,882,0.9994,0.733,0.577,0.54,0.079,0.729
SYS_1283,PVLIB_PHYSICS_REFERENCE,TRAIN,2699,0.9933,0.164,0.052,1.82,-0.015,0.163
SYS_1283,SOLAR_EMPIRICAL_BASELINE,TRAIN,2699,0.9925,0.173,0.079,1.92,-0.014,0.173
SYS_1283,RAI_SOLAR_CHAMPION,TRAIN,2699,0.9934,0.163,0.052,1.81,-0.015,0.163
SYS_1283,PVLIB_PHYSICS_REFERENCE,VAL,868,0.9994,0.048,0.038,0.53,0.001,0.048
SYS_1283,SOLAR_EMPIRICAL_BASELINE,VAL,868,0.9978,0.092,0.072,1.03,0.037,0.084
SYS_1283,RAI_SOLAR_CHAMPION,VAL,868,0.9994,0.049,0.038,0.54,0.005,0.048
SYS_1283,PVLIB_PHYSICS_REFERENCE,TEST,848,0.9995,0.048,0.038,0.53,0.0,0.048
SYS_1283,SOLAR_EMPIRICAL_BASELINE,TEST,848,0.997,0.114,0.088,1.26,0.063,0.095
SYS_1283,RAI_SOLAR_CHAMPION,TEST,848,0.9994,0.049,0.039,0.55,0.007,0.049
