system_id,model_name,regime_name,sample_count,r2,rmse_kw,mae_kw,mean_residual_kw
SYS_10,PVLIB_PHYSICS_REFERENCE,ALL_VALID_DAYTIME,887,0.9996,0.487,0.39,0.001
SYS_10,PVLIB_PHYSICS_REFERENCE,LOW_IRRADIANCE (20-300 W/m²),258,0.9961,0.495,0.392,0.036
SYS_10,PVLIB_PHYSICS_REFERENCE,MEDIUM_IRRADIANCE (300-700 W/m²),393,0.9975,0.488,0.397,-0.033
SYS_10,PVLIB_PHYSICS_REFERENCE,HIGH_IRRADIANCE (>= 700 W/m²),236,0.9967,0.478,0.375,0.021
SYS_10,PVLIB_PHYSICS_REFERENCE,LOW_TEMP (< 25°C),86,0.9949,0.489,0.389,-0.017
SYS_10,PVLIB_PHYSICS_REFERENCE,MEDIUM_TEMP (25-45°C),487,0.999,0.494,0.396,0.024
SYS_10,PVLIB_PHYSICS_REFERENCE,HIGH_TEMP (>= 45°C),314,0.9986,0.476,0.38,-0.029
SYS_10,PVLIB_PHYSICS_REFERENCE,INVERTER_CLIPPING,20,0.7322,0.355,0.217,0.038
SYS_10,SOLAR_EMPIRICAL_BASELINE,ALL_VALID_DAYTIME,887,0.9983,1.013,0.783,0.491
SYS_10,SOLAR_EMPIRICAL_BASELINE,LOW_IRRADIANCE (20-300 W/m²),258,0.9904,0.781,0.612,0.15
SYS_10,SOLAR_EMPIRICAL_BASELINE,MEDIUM_IRRADIANCE (300-700 W/m²),393,0.987,1.113,0.888,0.66
SYS_10,SOLAR_EMPIRICAL_BASELINE,HIGH_IRRADIANCE (>= 700 W/m²),236,0.9837,1.063,0.796,0.581
SYS_10,SOLAR_EMPIRICAL_BASELINE,LOW_TEMP (< 25°C),86,0.9861,0.809,0.613,0.447
SYS_10,SOLAR_EMPIRICAL_BASELINE,MEDIUM_TEMP (25-45°C),487,0.9949,1.139,0.894,0.521
SYS_10,SOLAR_EMPIRICAL_BASELINE,HIGH_TEMP (>= 45°C),314,0.9957,0.842,0.658,0.456
SYS_10,SOLAR_EMPIRICAL_BASELINE,INVERTER_CLIPPING,20,0.211,0.61,0.382,0.192
SYS_10,RAI_SOLAR_CHAMPION,ALL_VALID_DAYTIME,887,0.9996,0.497,0.395,0.05
SYS_10,RAI_SOLAR_CHAMPION,LOW_IRRADIANCE (20-300 W/m²),258,0.9961,0.498,0.394,0.047
SYS_10,RAI_SOLAR_CHAMPION,MEDIUM_IRRADIANCE (300-700 W/m²),393,0.9974,0.498,0.405,0.037
SYS_10,RAI_SOLAR_CHAMPION,HIGH_IRRADIANCE (>= 700 W/m²),236,0.9965,0.493,0.378,0.077
SYS_10,RAI_SOLAR_CHAMPION,LOW_TEMP (< 25°C),86,0.9949,0.49,0.387,0.03
SYS_10,RAI_SOLAR_CHAMPION,MEDIUM_TEMP (25-45°C),487,0.999,0.511,0.408,0.074
SYS_10,RAI_SOLAR_CHAMPION,HIGH_TEMP (>= 45°C),314,0.9986,0.476,0.376,0.02
SYS_10,RAI_SOLAR_CHAMPION,INVERTER_CLIPPING,20,0.7369,0.352,0.212,0.053
