system_id,model_name,lag1_autocorrelation,irradiance_heteroscedasticity_corr,temperature_bias_slope,skewness,excess_kurtosis
SYS_10,PVLIB_PHYSICS_REFERENCE,-0.002,-0.031,-0.0008,0.028,-0.007
SYS_10,SOLAR_EMPIRICAL_BASELINE,0.576,0.102,-0.0034,0.335,0.363
SYS_10,RAI_SOLAR_CHAMPION,0.024,-0.032,-0.0011,0.051,-0.047
SYS_34,PVLIB_PHYSICS_REFERENCE,-0.006,-0.001,-0.0,0.024,-0.018
SYS_34,SOLAR_EMPIRICAL_BASELINE,0.629,0.133,-0.0004,0.483,0.402
SYS_34,RAI_SOLAR_CHAMPION,0.035,0.0,-0.0001,0.076,-0.047
SYS_4,PVLIB_PHYSICS_REFERENCE,0.008,-0.029,-0.0,-0.068,0.084
SYS_4,SOLAR_EMPIRICAL_BASELINE,0.631,0.163,-0.0005,0.394,0.21
SYS_4,RAI_SOLAR_CHAMPION,0.042,-0.009,-0.0001,-0.059,0.035
SYS_1199,PVLIB_PHYSICS_REFERENCE,-0.014,-0.015,0.0001,-0.003,0.311
SYS_1199,SOLAR_EMPIRICAL_BASELINE,0.569,0.136,0.0311,-0.091,0.027
SYS_1199,RAI_SOLAR_CHAMPION,-0.004,-0.002,0.0032,-0.006,0.255
SYS_1283,PVLIB_PHYSICS_REFERENCE,-0.003,0.135,-0.0,0.014,0.086
SYS_1283,SOLAR_EMPIRICAL_BASELINE,0.621,0.255,0.0002,0.258,0.14
SYS_1283,RAI_SOLAR_CHAMPION,0.031,0.132,0.0,0.02,0.088
