category,evidentiary_tier,integrity_status,file_path,line_number,data_source,experiment,sample_size,independent_event_count,audit_notes
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,CHECKPOINT.md,11,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
CARE Benchmark Claims,EXTERNAL_REAL,VERIFIED,CHECKPOINT.md,12,Zenodo Record 14006163,CARE to Compare Benchmark,"36 turbines, 3 farms",44,Correctly demarcated as PENDING / NOT COMPUTED on official callset.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,CHECKPOINT.md,13,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
Optimality Claims,SIMULATED_OUTCOME,VERIFIED,CHECKPOINT.md,14,Model-World Policy Simulator,Self-Consistency Check,Static Holdout,6,"Correctly labeled as internal self-consistency check, not field truth."
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,CHECKPOINT.md,46,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,CHECKPOINT.md,47,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,CHECKPOINT.md,299,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,CHECKPOINT.md,327,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,CHECKPOINT.md,387,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,CHECKPOINT.md,389,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.09 Alert Funnel / Contamination Claims,EXTERNAL_REAL,VERIFIED,CHECKPOINT.md,415,"CARE Benchmark Specification (Gück et al., 2024)",Isolation Forest Hyperparameter,Section 4.2.1,N/A,Replicates CARE paper's declared contamination parameter c=0.09.
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,findings.md,5,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,findings.md,16,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,README.md,7,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
CARE Benchmark Claims,EXTERNAL_REAL,VERIFIED,README.md,138,Zenodo Record 14006163,CARE to Compare Benchmark,"36 turbines, 3 farms",44,Correctly demarcated as PENDING / NOT COMPUTED on official callset.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,README.md,155,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,README.md,156,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,README.md,167,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,Renewable_Asset_Intelligence_Build_Research_Compendium.md,401,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,Renewable_Asset_Intelligence_Research_Compendium.md,102,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,Renewable_Asset_Intelligence_Research_Compendium.md,299,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,Renewable_Asset_Intelligence_Research_Compendium.md,348,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,task_plan.md,69,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
