farm,event_id,label,description,n_rows,n_train,n_prediction,n_event_window_rows,n_predicted_anomalous,coverage_fbeta,accuracy,earliness,max_criticality,event_detected,model
Wind Farm A,68,anomaly_event,Transformer failure,54358,52063,2295,2014,275,0.3,,0.04947941422299616,45,False,isolation_forest
Wind Farm A,22,anomaly_event,Hydraulic group,53036,51888,1148,1005,256,0.5880801687763713,,0.2827812836246256,5,False,isolation_forest
Wind Farm A,72,anomaly_event,Gearbox failure,54082,52065,2017,1009,117,0.3089887640449438,,0.05902023730840651,5,False,isolation_forest
Wind Farm A,73,anomaly_event,Hydraulic group,54042,52313,1729,1009,161,0.2526595744680851,,0.05655220889854069,8,False,isolation_forest
Wind Farm A,0,anomaly_event,Generator bearing failure,54986,52148,2838,2012,291,0.3762755102040816,,0.13614467043890505,2,False,isolation_forest
Wind Farm A,26,anomaly_event,Hydraulic group,53702,52261,1441,1009,97,0.26253918495297807,,0.07493521753270596,8,False,isolation_forest
Wind Farm A,40,anomaly_event,Generator bearing failure,56158,51219,4939,4508,359,0.27330587794833394,,0.0756220368260502,13,False,isolation_forest
Wind Farm A,42,anomaly_event,Hydraulic group,53886,52303,1583,1007,36,0.10771992818671454,,0.028359643463720986,2,False,isolation_forest
Wind Farm A,10,anomaly_event,Gearbox failure,53592,52323,1269,981,80,0.3038461538461538,,0.07218191151375573,0,False,isolation_forest
Wind Farm A,45,anomaly_event,Hydraulic group,53739,52299,1440,1008,459,1.0,,0.5290681173131505,406,True,isolation_forest
Wind Farm A,84,anomaly_event,Hydraulic group,53772,52335,1437,1005,28,1.0,,0.011592647327081852,8,False,isolation_forest
Wind Farm A,25,normal_behavior,,54712,52289,2423,0,267,,0.86302780638517,,1,False,isolation_forest
Wind Farm A,69,normal_behavior,,54813,52220,2593,0,119,,0.9421768707482994,,0,False,isolation_forest
Wind Farm A,13,normal_behavior,,54010,50427,3583,0,470,,0.8506039415130324,,0,False,isolation_forest
Wind Farm A,24,normal_behavior,,55003,52289,2714,0,111,,0.9496826835902086,,0,False,isolation_forest
Wind Farm A,3,normal_behavior,,55487,52185,3302,0,178,,0.9366068156834005,,1,False,isolation_forest
Wind Farm A,17,normal_behavior,,55090,52309,2781,0,100,,0.9516441005802708,,0,False,isolation_forest
Wind Farm A,38,normal_behavior,,54835,52291,2544,0,188,,0.9114043355325165,,0,False,isolation_forest
Wind Farm A,71,normal_behavior,,54744,52295,2449,0,161,,0.9153967419863374,,0,False,isolation_forest
Wind Farm A,14,normal_behavior,,54197,52296,1901,0,272,,0.8302005012531328,,1,False,isolation_forest
Wind Farm A,92,normal_behavior,,54067,52293,1774,0,413,,0.7273927392739274,,0,False,isolation_forest
Wind Farm A,51,normal_behavior,,54436,52043,2393,0,184,,0.9138731304796287,,7,False,isolation_forest
Wind Farm A,68,anomaly_event,Transformer failure,54358,52063,2295,2014,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,22,anomaly_event,Hydraulic group,53036,51888,1148,1005,1,0.00496031746031746,,0.0013271400132714001,0,False,zscore_threshold
Wind Farm A,72,anomaly_event,Gearbox failure,54082,52065,2017,1009,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,73,anomaly_event,Hydraulic group,54042,52313,1729,1009,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,0,anomaly_event,Generator bearing failure,54986,52148,2838,2012,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,26,anomaly_event,Hydraulic group,53702,52261,1441,1009,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,40,anomaly_event,Generator bearing failure,56158,51219,4939,4508,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,42,anomaly_event,Hydraulic group,53886,52303,1583,1007,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,10,anomaly_event,Gearbox failure,53592,52323,1269,981,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,45,anomaly_event,Hydraulic group,53739,52299,1440,1008,231,1.0,,0.2924248396930516,143,True,zscore_threshold
Wind Farm A,84,anomaly_event,Hydraulic group,53772,52335,1437,1005,0,1.0,,0.0,0,False,zscore_threshold
Wind Farm A,25,normal_behavior,,54712,52289,2423,0,17,,0.9912461380020597,,0,False,zscore_threshold
Wind Farm A,69,normal_behavior,,54813,52220,2593,0,0,,1.0,,0,False,zscore_threshold
Wind Farm A,13,normal_behavior,,54010,50427,3583,0,82,,0.9739351557533376,,0,False,zscore_threshold
Wind Farm A,24,normal_behavior,,55003,52289,2714,0,0,,1.0,,0,False,zscore_threshold
Wind Farm A,3,normal_behavior,,55487,52185,3302,0,0,,1.0,,0,False,zscore_threshold
Wind Farm A,17,normal_behavior,,55090,52309,2781,0,0,,1.0,,0,False,zscore_threshold
Wind Farm A,38,normal_behavior,,54835,52291,2544,0,5,,0.9976437323279924,,0,False,zscore_threshold
Wind Farm A,71,normal_behavior,,54744,52295,2449,0,0,,1.0,,0,False,zscore_threshold
Wind Farm A,14,normal_behavior,,54197,52296,1901,0,25,,0.9843358395989975,,0,False,zscore_threshold
Wind Farm A,92,normal_behavior,,54067,52293,1774,0,12,,0.9920792079207921,,0,False,zscore_threshold
Wind Farm A,51,normal_behavior,,54436,52043,2393,0,1,,0.999484270242393,,0,False,zscore_threshold
Wind Farm B,34,anomaly_event,high temperature,56564,52531,4033,3169,229,0.14490861618798956,,0.04482495903703562,13,False,isolation_forest
Wind Farm B,7,anomaly_event,high temperature,57888,52559,5329,4465,178,0.09176269739650021,,0.027065427573358423,12,False,isolation_forest
Wind Farm B,53,anomaly_event,Rotor Bearing 2 - Damage,58607,52559,6048,6048,1120,0.48657897551064055,,0.19797471021974883,111,True,isolation_forest
Wind Farm B,27,anomaly_event,Turbine is stopped due to a main bearing damage,62268,52331,9937,8785,981,0.2598870056497175,,0.0836545863639147,83,True,isolation_forest
Wind Farm B,19,anomaly_event,high temperature,56274,52529,3745,2881,125,0.13169845594913715,,0.03566529095631155,11,False,isolation_forest
Wind Farm B,77,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,61776,52559,9217,8641,706,0.2984136196556394,,0.0832381403469668,6,False,isolation_forest
Wind Farm B,83,normal_behavior,,66154,52041,14113,0,1110,,0.9321098063613034,,41,False,isolation_forest
Wind Farm B,52,normal_behavior,,55268,52531,2737,0,57,,0.9791208791208791,,0,False,isolation_forest
Wind Farm B,21,normal_behavior,,53514,52217,1297,0,259,,0.7959022852639874,,0,False,isolation_forest
Wind Farm B,2,normal_behavior,,54774,52559,2215,0,194,,0.9101851851851852,,0,False,isolation_forest
Wind Farm B,23,normal_behavior,,54542,52559,1983,0,345,,0.8755020080321285,,109,True,isolation_forest
Wind Farm B,87,normal_behavior,,55356,52331,3025,0,428,,0.8605998636673483,,18,False,isolation_forest
Wind Farm B,74,normal_behavior,,55602,52529,3073,0,388,,0.8784365684001325,,6,False,isolation_forest
Wind Farm B,86,normal_behavior,,55486,52559,2927,0,165,,0.9471288515406162,,4,False,isolation_forest
Wind Farm B,82,normal_behavior,,54992,52543,2449,0,279,,0.8852115626309175,,1,False,isolation_forest
Wind Farm B,34,anomaly_event,high temperature,56564,52531,4033,3169,1,0.0,,0.0,0,False,zscore_threshold
Wind Farm B,7,anomaly_event,high temperature,57888,52559,5329,4465,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm B,53,anomaly_event,Rotor Bearing 2 - Damage,58607,52559,6048,6048,50,0.03819385503310134,,0.010118354888200535,2,False,zscore_threshold
Wind Farm B,27,anomaly_event,Turbine is stopped due to a main bearing damage,62268,52331,9937,8785,0,0.0,,0.0,0,False,zscore_threshold
