farm,event_id,label,description,n_rows,n_train,n_prediction,n_event_window_rows,n_predicted_anomalous,coverage_fbeta,accuracy,earliness,max_criticality,event_detected,model
Wind Farm A,25,normal_behavior,,54712,52289,2423,0,267,,0.86302780638517,,1,False,isolation_forest
Wind Farm A,69,normal_behavior,,54813,52220,2593,0,119,,0.9421768707482994,,0,False,isolation_forest
Wind Farm A,13,normal_behavior,,54010,50427,3583,0,470,,0.8506039415130324,,0,False,isolation_forest
Wind Farm A,24,normal_behavior,,55003,52289,2714,0,111,,0.9496826835902086,,0,False,isolation_forest
Wind Farm A,3,normal_behavior,,55487,52185,3302,0,178,,0.9366068156834005,,1,False,isolation_forest
Wind Farm A,17,normal_behavior,,55090,52309,2781,0,100,,0.9516441005802708,,0,False,isolation_forest
Wind Farm A,38,normal_behavior,,54835,52291,2544,0,188,,0.9114043355325165,,0,False,isolation_forest
Wind Farm A,71,normal_behavior,,54744,52295,2449,0,161,,0.9153967419863374,,0,False,isolation_forest
Wind Farm A,14,normal_behavior,,54197,52296,1901,0,272,,0.8302005012531328,,1,False,isolation_forest
Wind Farm A,92,normal_behavior,,54067,52293,1774,0,413,,0.7273927392739274,,0,False,isolation_forest
Wind Farm A,51,normal_behavior,,54436,52043,2393,0,184,,0.9138731304796287,,7,False,isolation_forest
Wind Farm A,25,normal_behavior,,54712,52289,2423,0,17,,0.9912461380020597,,0,False,zscore_threshold
Wind Farm A,13,normal_behavior,,54010,50427,3583,0,82,,0.9739351557533376,,0,False,zscore_threshold
Wind Farm A,38,normal_behavior,,54835,52291,2544,0,5,,0.9976437323279924,,0,False,zscore_threshold
Wind Farm A,14,normal_behavior,,54197,52296,1901,0,25,,0.9843358395989975,,0,False,zscore_threshold
Wind Farm A,92,normal_behavior,,54067,52293,1774,0,12,,0.9920792079207921,,0,False,zscore_threshold
Wind Farm A,51,normal_behavior,,54436,52043,2393,0,1,,0.999484270242393,,0,False,zscore_threshold
Wind Farm B,83,normal_behavior,,66154,52041,14113,0,1110,,0.9321098063613034,,41,False,isolation_forest
Wind Farm B,52,normal_behavior,,55268,52531,2737,0,57,,0.9791208791208791,,0,False,isolation_forest
Wind Farm B,21,normal_behavior,,53514,52217,1297,0,259,,0.7959022852639874,,0,False,isolation_forest
Wind Farm B,2,normal_behavior,,54774,52559,2215,0,194,,0.9101851851851852,,0,False,isolation_forest
Wind Farm B,23,normal_behavior,,54542,52559,1983,0,345,,0.8755020080321285,,109,True,isolation_forest
Wind Farm B,87,normal_behavior,,55356,52331,3025,0,428,,0.8605998636673483,,18,False,isolation_forest
Wind Farm B,74,normal_behavior,,55602,52529,3073,0,388,,0.8784365684001325,,6,False,isolation_forest
Wind Farm B,86,normal_behavior,,55486,52559,2927,0,165,,0.9471288515406162,,4,False,isolation_forest
Wind Farm B,82,normal_behavior,,54992,52543,2449,0,279,,0.8852115626309175,,1,False,isolation_forest
Wind Farm B,74,normal_behavior,,55602,52529,3073,0,36,,0.9880755216959258,,0,False,zscore_threshold
Wind Farm B,82,normal_behavior,,54992,52543,2449,0,3,,0.9987431922915794,,0,False,zscore_threshold
Wind Farm C,8,normal_behavior,,54802,52560,2242,0,174,,0.9264440433212996,,3,False,isolation_forest
Wind Farm C,85,normal_behavior,,52417,50832,1585,0,386,,0.7597693786034593,,4,False,isolation_forest
Wind Farm C,6,normal_behavior,,54865,52560,2305,0,173,,0.9239848914069877,,2,False,isolation_forest
Wind Farm C,62,normal_behavior,,53448,52416,1032,0,42,,0.9590643274853801,,0,False,isolation_forest
Wind Farm C,36,normal_behavior,,55448,52560,2888,0,241,,0.9202669476642079,,4,False,isolation_forest
Wind Farm C,56,normal_behavior,,53416,51120,2296,0,61,,0.9831932773109243,,10,False,isolation_forest
Wind Farm C,94,normal_behavior,,54865,52128,2737,0,61,,0.9784232365145228,,2,False,isolation_forest
Wind Farm C,54,normal_behavior,,55585,52560,3025,0,927,,0.7045300878972278,,44,False,isolation_forest
Wind Farm C,43,normal_behavior,,55153,52560,2593,0,186,,0.9344326658814291,,4,False,isolation_forest
Wind Farm C,50,normal_behavior,,55153,51696,3457,0,104,,0.9695014662756598,,0,False,isolation_forest
Wind Farm C,64,normal_behavior,,54433,52560,1873,0,335,,0.823943661971831,,8,False,isolation_forest
Wind Farm C,46,normal_behavior,,55133,52560,2573,0,149,,0.9436178543461238,,1,False,isolation_forest
Wind Farm C,65,normal_behavior,,55918,52560,3358,0,305,,0.9102409638554216,,2,False,isolation_forest
Wind Farm C,61,normal_behavior,,55585,52560,3025,0,648,,0.7800616649537513,,2,False,isolation_forest
Wind Farm C,93,normal_behavior,,55873,52560,3313,0,567,,0.8387395736793327,,36,False,isolation_forest
Wind Farm C,75,normal_behavior,,56161,52560,3601,0,164,,0.9556962025316456,,8,False,isolation_forest
Wind Farm C,41,normal_behavior,,55666,51408,4258,0,568,,0.8723150357995226,,11,False,isolation_forest
Wind Farm C,58,normal_behavior,,54433,52560,1873,0,61,,0.968228325255789,,2,False,isolation_forest
Wind Farm C,48,normal_behavior,,55297,52560,2737,0,90,,0.9696408737504628,,8,False,isolation_forest
Wind Farm C,88,normal_behavior,,55441,52560,2881,0,132,,0.9747135519557487,,23,False,isolation_forest
Wind Farm C,57,normal_behavior,,55009,52560,2449,0,90,,0.9654454621149042,,7,False,isolation_forest
Wind Farm C,32,normal_behavior,,55009,52560,2449,0,53,,0.9797854785478548,,2,False,isolation_forest
Wind Farm C,89,normal_behavior,,54577,51840,2737,0,509,,0.8153618906942393,,5,False,isolation_forest
Wind Farm C,59,normal_behavior,,54865,52128,2737,0,474,,0.8262150220913107,,1,False,isolation_forest
Wind Farm C,63,normal_behavior,,54865,52560,2305,0,203,,0.915573053368329,,7,False,isolation_forest
Wind Farm C,80,normal_behavior,,54913,52560,2353,0,90,,0.9630584192439863,,1,False,isolation_forest
