farm,event_id,label,description,n_rows,n_train,n_prediction,n_event_window_rows,n_predicted_anomalous,coverage_fbeta,accuracy,earliness,max_criticality,event_detected,model
Wind Farm A,68,anomaly_event,Transformer failure,54358,52063,2295,2014,275,0.3,,0.04947941422299616,45,False,isolation_forest
Wind Farm A,22,anomaly_event,Hydraulic group,53036,51888,1148,1005,256,0.5880801687763713,,0.2827812836246256,5,False,isolation_forest
Wind Farm A,72,anomaly_event,Gearbox failure,54082,52065,2017,1009,117,0.3089887640449438,,0.05902023730840651,5,False,isolation_forest
Wind Farm A,73,anomaly_event,Hydraulic group,54042,52313,1729,1009,161,0.2526595744680851,,0.05655220889854069,8,False,isolation_forest
Wind Farm A,0,anomaly_event,Generator bearing failure,54986,52148,2838,2012,291,0.3762755102040816,,0.13614467043890505,2,False,isolation_forest
Wind Farm A,26,anomaly_event,Hydraulic group,53702,52261,1441,1009,97,0.26253918495297807,,0.07493521753270596,8,False,isolation_forest
Wind Farm A,40,anomaly_event,Generator bearing failure,56158,51219,4939,4508,359,0.27330587794833394,,0.0756220368260502,13,False,isolation_forest
Wind Farm A,42,anomaly_event,Hydraulic group,53886,52303,1583,1007,36,0.10771992818671454,,0.028359643463720986,2,False,isolation_forest
Wind Farm A,10,anomaly_event,Gearbox failure,53592,52323,1269,981,80,0.3038461538461538,,0.07218191151375573,0,False,isolation_forest
Wind Farm A,84,anomaly_event,Hydraulic group,53772,52335,1437,1005,28,1.0,,0.011592647327081852,8,False,isolation_forest
Wind Farm A,68,anomaly_event,Transformer failure,54358,52063,2295,2014,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,22,anomaly_event,Hydraulic group,53036,51888,1148,1005,1,0.00496031746031746,,0.0013271400132714001,0,False,zscore_threshold
Wind Farm A,72,anomaly_event,Gearbox failure,54082,52065,2017,1009,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,73,anomaly_event,Hydraulic group,54042,52313,1729,1009,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,0,anomaly_event,Generator bearing failure,54986,52148,2838,2012,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,26,anomaly_event,Hydraulic group,53702,52261,1441,1009,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,40,anomaly_event,Generator bearing failure,56158,51219,4939,4508,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,42,anomaly_event,Hydraulic group,53886,52303,1583,1007,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,10,anomaly_event,Gearbox failure,53592,52323,1269,981,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm A,84,anomaly_event,Hydraulic group,53772,52335,1437,1005,0,1.0,,0.0,0,False,zscore_threshold
Wind Farm B,34,anomaly_event,high temperature,56564,52531,4033,3169,229,0.14490861618798956,,0.04482495903703562,13,False,isolation_forest
Wind Farm B,7,anomaly_event,high temperature,57888,52559,5329,4465,178,0.09176269739650021,,0.027065427573358423,12,False,isolation_forest
Wind Farm B,19,anomaly_event,high temperature,56274,52529,3745,2881,125,0.13169845594913715,,0.03566529095631155,11,False,isolation_forest
Wind Farm B,77,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,61776,52559,9217,8641,706,0.2984136196556394,,0.0832381403469668,6,False,isolation_forest
Wind Farm B,34,anomaly_event,high temperature,56564,52531,4033,3169,1,0.0,,0.0,0,False,zscore_threshold
Wind Farm B,7,anomaly_event,high temperature,57888,52559,5329,4465,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm B,53,anomaly_event,Rotor Bearing 2 - Damage,58607,52559,6048,6048,50,0.03819385503310134,,0.010118354888200535,2,False,zscore_threshold
Wind Farm B,27,anomaly_event,Turbine is stopped due to a main bearing damage,62268,52331,9937,8785,0,0.0,,0.0,0,False,zscore_threshold
Wind Farm B,19,anomaly_event,high temperature,56274,52529,3745,2881,2,0.0034928396786587496,,0.0009257116408238834,0,False,zscore_threshold
Wind Farm B,77,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,61776,52559,9217,8641,6,0.00380420999239158,,0.0007808682457629297,0,False,zscore_threshold
Wind Farm C,55,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,55753,52560,3193,2473,363,0.3500946201676129,,0.14730939610725594,12,False,isolation_forest
Wind Farm C,81,anomaly_event,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",53932,52560,1372,364,146,0.438957475994513,,0.23864738202973498,8,False,isolation_forest
Wind Farm C,47,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",53993,52416,1577,713,471,0.06642512077294686,,0.05737799686780673,15,False,isolation_forest
Wind Farm C,12,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",56107,52560,3547,3259,323,0.2732514414640261,,0.07253805061492849,20,False,isolation_forest
Wind Farm C,4,anomaly_event,23020 : Axis 3 not ready-to-operate,56449,52560,3889,2737,236,0.2283174992338339,,0.056917822367530686,19,False,isolation_forest
Wind Farm C,18,anomaly_event,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,52848,51120,1728,576,114,0.29850746268656714,,0.05358178654292343,14,False,isolation_forest
Wind Farm C,28,anomaly_event,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,55918,52560,3358,2926,217,0.20840509817430244,,0.04504173378718986,20,False,isolation_forest
Wind Farm C,39,anomaly_event,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,53727,52560,1167,735,55,0.017482517482517484,,0.03581795793627638,13,False,isolation_forest
Wind Farm C,66,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",53503,51696,1807,943,463,0.17759562841530055,,0.21272263714087514,62,False,isolation_forest
Wind Farm C,15,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),54433,51696,2737,2449,622,0.5955309553095531,,0.21111662742962692,3,False,isolation_forest
Wind Farm C,78,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,53146,52560,586,298,57,0.1794871794871795,,0.06872784857853857,11,False,isolation_forest
Wind Farm C,79,anomaly_event,Communication fault BK1120 in NC300,53281,52560,721,289,26,0.0,,0.00032075955863484617,5,False,isolation_forest
Wind Farm C,44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,63003,52560,10443,9435,488,0.19792064097672643,,0.049526249605572524,17,False,isolation_forest
Wind Farm C,49,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,53014,51408,1606,598,117,0.4139228598306679,,0.19549709459838194,0,False,isolation_forest
Wind Farm C,31,anomaly_event,Communication and Pitchfailure - slip ring and Beckhoff card,54589,52560,2029,1021,196,0.07593457943925233,,0.06436649120784826,26,False,isolation_forest
Wind Farm C,67,anomaly_event,Turbine has some issues with overpressure on the main transformer,61489,52560,8929,8353,910,0.3202122954444936,,0.09202259952312931,39,False,isolation_forest
Wind Farm C,9,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,56029,52560,3469,3037,227,0.21804717498628634,,0.06734379542092042,10,False,isolation_forest
Wind Farm C,91,anomaly_event,23020 : Axis 3 not ready-to-operate,56608,52560,4048,2896,376,0.18706574024585784,,0.05523462212845876,14,False,isolation_forest
