turbine_id,model,test_rows,evaluated_events,event_coverage,false_alarm_rate_outside_event_windows
Kelmarsh-1,statistical_z,21024,17,0.0,0.004034021871202916
Kelmarsh-1,isolation_forest,21024,17,0.4117647058823529,0.0024787363304981775
Kelmarsh-1,rai_champion,21024,17,0.7647058823529411,0.009088699878493317
Kelmarsh-2,statistical_z,21024,12,0.0,0.0036372453928225023
Kelmarsh-2,isolation_forest,21024,12,0.3333333333333333,0.002473326867119302
Kelmarsh-2,rai_champion,21024,12,0.5833333333333334,0.008292919495635306
Kelmarsh-3,statistical_z,21024,18,0.05555555555555555,0.003660829128326902
Kelmarsh-3,isolation_forest,21024,18,0.7222222222222222,0.0027208865142970217
Kelmarsh-3,rai_champion,21024,18,0.9444444444444444,0.010141486098743446
Kelmarsh-4,statistical_z,21024,18,0.0,0.004448137647863917
Kelmarsh-4,isolation_forest,21024,18,0.5,0.0031283605435526445
Kelmarsh-4,rai_champion,21024,18,0.6666666666666666,0.01417538371297292
Kelmarsh-5,statistical_z,21024,8,0.0,0.006276857708464101
Kelmarsh-5,isolation_forest,21024,8,0.75,0.005311187291777316
Kelmarsh-5,rai_champion,21024,8,1.0,0.018058036792042875
Kelmarsh-6,statistical_z,21024,19,0.0,0.005487237274018912
Kelmarsh-6,isolation_forest,21024,19,0.2631578947368421,0.0030375777766890404
Kelmarsh-6,rai_champion,21024,19,0.9473684210526315,0.006810053402577042
