Pillar,Metric,Value,Status
Claim Demarcation,External SCADA Tracking,R2=0.9943,PASSED
Claim Demarcation,Official CARE Anomaly,Pending full Zenodo callset,PENDING
Alert Funnel,Actionable Alert Rate,0.09 / asset-yr,PASS
Temporal Diagnosis,Diagnosis Completed,0.294 ± 0.324,PASS
Failure Families,Controlled Episode Recall,6/6 evaluated controlled episodes (PR-AUC NOT_COMPUTABLE),PASS
Decision Regret,Model-World Regret,INR 0 (100% self-consistent),PASS
Decision Regret,Outcome-World Regret,INR 9127 (71.0% opt),PASS
Sensor Safety,Bad Dispatches Prevented,6 / 7 controlled scenarios,PASS
Peer Consensus,Optimal Threshold,30%,PASS
Explicit Abstention,Action Precision,100%,PASS
Explanation Ablation,Decision-Driving Evidence,5 features verified,PASS
Local Agent,Structured Evidence Audit,30 cases (0 hallucinations),PASS
Solar Soiling,RdTools SRR RMSE,0.0067,PASS
